Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	TIM3uffreqParameter.1	TIM3uffreqParameter.2	TIM3uffreqParameter.3	TIM3uffreqParameter.4	RateAC-Standard_TIM3uf	RateAG-Standard_TIM3uf	RateAT-Standard_TIM3uf	RateCG-Standard_TIM3uf	RateCT-Standard_TIM3uf	RateGT-Standard_TIM3uf	clockRate	popSize	CoalescentConstant	proportionInvariant	
589	-11598.960330535352	-11476.898676222345	-122.06165431300717	-11476.898676222345	66.40238332986141	391.4248788388114	0.30590353919695107	0.19482458681458129	0.25432919485049443	0.24494267913797313	0.11889281436654474	2.0852448530774135	0.3259672458605142	0.11889281436654474	3.0250350264684682	0.3259672458605142	1.8713547909804805E-4	58.87767721037317	-96.03678677849005	0.8322331399742489	
590	-11602.262347949101	-11476.897178327194	-125.365169621908	-11476.897178327194	69.08702082772682	425.4585933373098	0.305801488007381	0.20063917324314434	0.25271039557214203	0.24084894317733263	0.11037722796951843	2.129765906855417	0.3914627019626277	0.11037722796951843	2.86655423328029	0.3914627019626277	1.6435771227925683E-4	77.89827386972276	-98.3886982678695	0.7374185817667761	
591	-11602.262347949101	-11476.897178327194	-125.365169621908	-11476.897178327194	69.08702082772682	425.4585933373098	0.305801488007381	0.20063917324314434	0.25271039557214203	0.24084894317733263	0.11037722796951843	2.129765906855417	0.3914627019626277	0.11037722796951843	2.86655423328029	0.3914627019626277	1.6435771227925683E-4	77.89827386972276	-98.3886982678695	0.7374185817667761	
592	-11602.262347949101	-11476.897178327194	-125.365169621908	-11476.897178327194	69.08702082772682	425.4585933373098	0.305801488007381	0.20063917324314434	0.25271039557214203	0.24084894317733263	0.11037722796951843	2.129765906855417	0.3914627019626277	0.11037722796951843	2.86655423328029	0.3914627019626277	1.6435771227925683E-4	77.89827386972276	-98.3886982678695	0.7374185817667761	
593	-11599.304573231766	-11476.84495363904	-122.45961959272523	-11476.84495363904	61.507427650690246	370.4740884551054	0.3037914014821896	0.19482458681458129	0.25432919485049443	0.2470548168527346	0.12074954220332312	2.199574503758966	0.26880242051973785	0.12074954220332312	3.0213215707949113	0.26880242051973785	1.8713547909804805E-4	38.44331744490257	-96.86102920002368	0.8322331399742489	
594	-11610.49435795995	-11476.788463593715	-133.70589436623496	-11476.788463593715	100.3843249313426	597.1863490255382	0.30392587769513324	0.19860324561712214	0.25419326370362055	0.24327761298412404	0.0860273333911917	2.3515568399381355	0.25353429036186803	0.0860273333911917	2.9693199125557435	0.25353429036186803	1.1926168733563434E-4	90.93100943982576	-104.86870882513145	0.8322331399742489	
595	-11610.49435795995	-11476.788463593715	-133.70589436623496	-11476.788463593715	100.3843249313426	597.1863490255382	0.30392587769513324	0.19860324561712214	0.25419326370362055	0.24327761298412404	0.0860273333911917	2.3515568399381355	0.25353429036186803	0.0860273333911917	2.9693199125557435	0.25353429036186803	1.1926168733563434E-4	90.93100943982576	-104.86870882513145	0.8322331399742489	
596	-11610.49435795995	-11476.788463593715	-133.70589436623496	-11476.788463593715	100.3843249313426	597.1863490255382	0.30392587769513324	0.19860324561712214	0.25419326370362055	0.24327761298412404	0.0860273333911917	2.3515568399381355	0.25353429036186803	0.0860273333911917	2.9693199125557435	0.25353429036186803	1.1926168733563434E-4	90.93100943982576	-104.86870882513145	0.8322331399742489	
597	-11610.49435795995	-11476.788463593715	-133.70589436623496	-11476.788463593715	100.3843249313426	597.1863490255382	0.30392587769513324	0.19860324561712214	0.25419326370362055	0.24327761298412404	0.0860273333911917	2.3515568399381355	0.25353429036186803	0.0860273333911917	2.9693199125557435	0.25353429036186803	1.1926168733563434E-4	90.93100943982576	-104.86870882513145	0.8322331399742489	
598	-11606.835922225833	-11476.771249355783	-130.0646728700509	-11476.771249355783	94.0331548493177	537.9150851460535	0.30878611379659465	0.19236639239808434	0.25419326370362055	0.24465423010170043	0.0860273333911917	2.304335710520904	0.25353429036186803	0.0860273333911917	3.016541041972975	0.25353429036186803	1.332434318928507E-4	67.56503176052959	-102.1216222484912	0.8322331399742489	
