Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	gammaShape	TPM2uffreqParameter.1	TPM2uffreqParameter.2	TPM2uffreqParameter.3	TPM2uffreqParameter.4	RateAC-Standard_TPM2uf	RateAG-Standard_TPM2uf	RateAT-Standard_TPM2uf	RateCG-Standard_TPM2uf	RateCT-Standard_TPM2uf	RateGT-Standard_TPM2uf	proportionInvariant	fastUcldStdev	fastRatesStat.mean	fastRatesStat.variance	fastRatesStat.coefficientOfVariation	fastUcldMean	popSize	CoalescentConstant	
20	-6291.440587899196	-6332.890666462737	41.45007856354111	-6332.890666462737	0.2954727565961342	1.202598884461011	0.2663026330066284	0.25207209193315894	0.19489584354227477	0.2860589153420623	0.2669731491825041	0.5779761620526169	2.290873928769394	0.5779761620526169	0.1311499091779883	2.290873928769394	0.1311499091779883	0.0	0.11697499442572819	0.07954116086098964	1.0834379537156516E-4	0.12463158722750069	0.08207611857791869	0.13333509347907532	14.679132503625407	
21	-6298.5355077015265	-6332.677240554567	34.14173285304094	-6332.677240554567	0.9778511353235233	4.164890582019914	0.27601451576898833	0.255227352489391	0.1903488583512118	0.30236383032381675	0.2520599588355806	0.3735916935149691	2.5009553490065053	0.3735916935149691	0.12545295747852547	2.5009553490065053	0.12545295747852547	0.0	0.08779550011114108	0.023924888419535998	3.6391058215971077E-6	0.08058445682882208	0.023681810285235368	0.6245223687604109	-10.085551011553518	
22	-6323.789266056755	-6332.664456697074	8.875190640318689	-6332.664456697074	0.9081072195406996	3.6301801171811974	0.25326297739938136	0.2602586937502084	0.1858444271975069	0.28385074279421796	0.27004613625806695	0.6205079639891328	2.21991189570423	0.6205079639891328	0.15958014030663648	2.21991189570423	0.15958014030663648	0.0	0.13465592898073359	0.024695899866575503	1.5901882955770705E-5	0.15928535811590597	0.024897091303522623	0.5505481522703818	-5.829194154309689	
23	-6311.547153953179	-6332.596291936926	21.049137983747098	-6332.596291936926	0.5503086331913227	2.2030574185053093	0.23773303238895008	0.26400729005384255	0.18950665855163518	0.2804979228516398	0.26598812854288256	0.424922630690868	2.449533316652601	0.424922630690868	0.12554405265653018	2.449533316652601	0.12554405265653018	0.0	0.14149737384538139	0.047390431322215314	5.1026973648230876E-5	0.15369104876915854	0.046828563388687953	0.4367302184614485	1.6461275123974706	
24	-6288.852050259833	-6332.590195499671	43.7381452398376	-6332.590195499671	0.40469335932382644	1.532467831695121	0.5252831707275324	0.26592412996014364	0.2068125769325031	0.2795330199167602	0.24773027319059315	0.34801551764797245	2.5539817028460714	0.34801551764797245	0.0980027795059559	2.5539817028460714	0.0980027795059559	0.0	0.10089657796618565	0.0601315876108131	3.574957751204078E-5	0.10440795962704431	0.05603582146186678	0.17834190358799915	11.29211781136497	
25	-6267.695513216178	-6332.431471231584	64.73595801540547	-6332.431471231584	0.2652679628063616	1.0608896680709554	0.2663026330066284	0.25207209193315894	0.19489584354227477	0.2860589153420623	0.2669731491825041	0.5779761620526169	2.290873928769394	0.5779761620526169	0.1311499091779883	2.290873928769394	0.1311499091779883	0.0	0.07825293098131807	0.1010482312450131	4.7259375443229656E-5	0.06814946501889493	0.09974913095939819	0.11712049909035611	15.654077812762157	
26	-6308.203744618653	-6332.304038369144	24.10029375049097	-6332.304038369144	1.9569841207633716	7.476748182387119	0.19381767070704892	0.2553956379596014	0.19018057288100135	0.30327098708158545	0.2511528020778119	0.37337847109923267	2.5009553490065053	0.37337847109923267	0.12566617989426193	2.5009553490065053	0.12566617989426193	0.0	0.09825089205557522	0.013551425417130428	1.0876597292057832E-6	0.0772299138134618	0.01364944515394484	0.8498672706321717	-19.74590031458974	
27	-6327.584296018861	-6332.23797302291	4.653677004049443	-6332.23797302291	1.2598016616874512	5.229609308728405	0.23773303238895008	0.26400729005384255	0.18950665855163518	0.2804979228516398	0.26598812854288256	0.424922630690868	2.449533316652601	0.424922630690868	0.12554405265653018	2.449533316652601	0.12554405265653018	0.0	0.17206074720657175	0.02366004686445322	1.1283254576444522E-5	0.145028244997062	0.02351322363309682	1.1068981245412213	-14.752827869096295	
28	-6254.389581353517	-6332.142185216256	77.7526038627385	-6332.142185216256	1.2586794726901236	4.6324923755019665	0.22753181136879727	0.26323347694233357	0.18950665855163518	0.2870808364168859	0.26017902808914545	0.5145066500223188	2.35994929732115	0.5145066500223188	0.12554405265653018	2.35994929732115	0.12554405265653018	0.0	0.025342578543764472	0.01945251162086888	2.2364301147222124E-7	0.02431109273696167	0.01952327464269264	1.0986250141067333	-11.805663653245656	
29	-6259.286367471853	-6331.983855191703	72.69748771985	-6331.983855191703	0.8244652957521714	3.391493891179216	0.7137483348239135	0.2617831465952615	0.2033761914653996	0.2725378402294483	0.2623028217098907	0.5009966838984921	2.386703522343674	0.5009966838984921	0.11229979375783294	2.386703522343674	0.11229979375783294	0.0	0.033925264824431985	0.030085368653220028	9.97049850741343E-7	0.03292802637840985	0.0303751319738937	0.39968626538763563	-5.971243871947525	
