Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	TIM3uffreqParameter.1	TIM3uffreqParameter.2	TIM3uffreqParameter.3	TIM3uffreqParameter.4	RateAC-Standard_TIM3uf	RateAG-Standard_TIM3uf	RateAT-Standard_TIM3uf	RateCG-Standard_TIM3uf	RateCT-Standard_TIM3uf	RateGT-Standard_TIM3uf	proportionInvariant	fastUcldMean	fastUcldStdev	fastRatesStat.mean	fastRatesStat.variance	fastRatesStat.coefficientOfVariation	BayesianSkyline	bPopSizes.1	bPopSizes.2	bPopSizes.3	bPopSizes.4	bPopSizes.5	bGroupSizes.1	bGroupSizes.2	bGroupSizes.3	bGroupSizes.4	bGroupSizes.5	
332	-11397.691791356818	-11475.883505939493	78.1917145826764	-11475.883505939493	122.27612655071836	815.2250468591835	0.2938128873508347	0.20242915260812971	0.251909156795744	0.2518488032452918	0.15319833349289566	2.285184959845687	0.2678430649702179	0.15319833349289566	2.8727322432280857	0.2678430649702179	0.801	8.530805609828334E-5	0.0016655761353767187	8.524046839087803E-5	1.6564822619523585E-14	0.0015088813184503415	-97.24746648816888	17.574381783995236	24.81880086362429	77.5294778434163	224.68151341802513	2.778031227478542	3.0	1.0	8.0	3.0	4.0	
333	-11183.410436789682	-11475.867417203524	292.45698041384355	-11475.867417203524	135.52871358211166	895.9576982284459	0.2938128873508347	0.20242915260812971	0.251909156795744	0.2518488032452918	0.15319833349289566	2.285184959845687	0.2678430649702179	0.15319833349289566	2.8727322432280857	0.2678430649702179	0.801	7.835847729277395E-5	6.136946253252871E-6	7.83583574997066E-5	2.036436366981636E-19	5.7590372752620195E-6	-93.47431632551937	46.32709047317255	101.42760233460878	126.30800817282454	396.37881533373803	1.9485014028927738	5.0	2.0	5.0	3.0	4.0	
334	-11522.816173390602	-11475.840747042226	-46.97542634837481	-11475.840747042226	110.72676052252186	735.7717530749666	0.292241781384161	0.20242915260812971	0.2534802627624177	0.2518488032452918	0.06036643655158515	2.3651405511390404	0.32231125129978094	0.06036643655158515	2.8695040731582275	0.32231125129978094	0.801	1.0040477106830992E-4	0.039331518705933835	9.953601425811504E-5	1.7600292639817822E-11	0.04156266712328382	-93.54900794982736	26.41711809489155	127.26164403542116	230.52618823882523	8.899904245855469	17.842249017503203	5.0	4.0	6.0	3.0	1.0	
335	-11522.816173390602	-11475.840747042226	-46.97542634837481	-11475.840747042226	110.72676052252186	735.7717530749666	0.292241781384161	0.20242915260812971	0.2534802627624177	0.2518488032452918	0.06036643655158515	2.3651405511390404	0.32231125129978094	0.06036643655158515	2.8695040731582275	0.32231125129978094	0.801	1.0040477106830992E-4	0.039331518705933835	9.953601425811504E-5	1.7600292639817822E-11	0.04156266712328382	-93.54900794982736	26.41711809489155	127.26164403542116	230.52618823882523	8.899904245855469	17.842249017503203	5.0	4.0	6.0	3.0	1.0	
336	-11463.178502530951	-11475.830013177472	12.651510646520624	-11475.830013177472	101.12359403254949	627.4083536227113	0.30025377888555455	0.19609072576460154	0.2534802627624177	0.2501752325874264	0.08369657765463351	2.1112006094326863	0.32231125129978094	0.08369657765463351	3.0767837326584853	0.32231125129978094	0.801	1.0570532059603972E-4	0.008392675601259267	1.0613635960686478E-4	8.193987211577785E-13	0.008547837751330488	-95.23215003825581	40.28421106017325	33.005152579885475	90.52687486244008	194.8061978676122	16.927427003241185	1.0	8.0	1.0	6.0	3.0	
337	-11342.535635591616	-11475.795014917632	133.25937932601647	-11475.795014917632	115.53670034860296	756.2259464907835	0.3003102930913818	0.19436064090090893	0.2534802627624177	0.2518488032452918	0.15319833349289566	2.0998213047054333	0.3352604509305255	0.15319833349289566	2.923261126447725	0.3352604509305255	0.801	8.513588954076791E-5	4.237808289697661E-4	8.51322932980804E-5	1.2593955899161485E-15	4.168738001376087E-4	-88.83740838819669	24.893756840603654	51.85297170948022	133.5159938599025	384.4339330564669	9.898006925000116	5.0	2.0	7.0	1.0	4.0	
338	-11342.535635591616	-11475.795014917632	133.25937932601647	-11475.795014917632	115.53670034860296	756.2259464907835	0.3003102930913818	0.19436064090090893	0.2534802627624177	0.2518488032452918	0.15319833349289566	2.0998213047054333	0.3352604509305255	0.15319833349289566	2.923261126447725	0.3352604509305255	0.801	8.513588954076791E-5	4.237808289697661E-4	8.51322932980804E-5	1.2593955899161485E-15	4.168738001376087E-4	-88.83740838819669	24.893756840603654	51.85297170948022	133.5159938599025	384.4339330564669	9.898006925000116	5.0	2.0	7.0	1.0	4.0	
339	-11537.259201450872	-11475.791023340114	-61.46817811075803	-11475.791023340114	109.90885135749897	706.0792634321414	0.292241781384161	0.20242915260812971	0.2534802627624177	0.2518488032452918	0.15319833349289566	2.0998213047054333	0.32231125129978094	0.15319833349289566	2.949159525709214	0.32231125129978094	0.801	1.1605599032517496E-4	0.060379278962629575	1.1643800907074867E-4	5.188176565744584E-11	0.06153836701897127	-95.25081227839374	39.9942187364054	76.79306789171783	167.78549989006405	64.49822252745679	9.78084324072542	3.0	7.0	5.0	1.0	3.0	
340	-11537.259201450872	-11475.791023340114	-61.46817811075803	-11475.791023340114	109.90885135749897	706.0792634321414	0.292241781384161	0.20242915260812971	0.2534802627624177	0.2518488032452918	0.15319833349289566	2.0998213047054333	0.32231125129978094	0.15319833349289566	2.949159525709214	0.32231125129978094	0.801	1.1605599032517496E-4	0.060379278962629575	1.1643800907074867E-4	5.188176565744584E-11	0.06153836701897127	-95.25081227839374	39.9942187364054	76.79306789171783	167.78549989006405	64.49822252745679	9.78084324072542	3.0	7.0	5.0	1.0	3.0	
341	-11258.18526533171	-11475.76912090865	217.58385557694078	-11475.76912090865	155.22513848367353	1022.6298933349556	0.2938128873508347	0.20242915260812971	0.251909156795744	0.2518488032452918	0.15319833349289566	2.285184959845687	0.2678430649702179	0.15319833349289566	2.8727322432280857	0.2678430649702179	0.801	7.288695157976412E-5	3.7275983615340285E-5	7.288661102651374E-5	6.383935186433069E-18	3.4665549008433456E-5	-94.13694791507204	12.610883996821995	46.92894638134083	242.16728831165995	1027.2880752225005	5.673738487805104	4.0	4.0	6.0	1.0	4.0	
