Sample	popsSize0	demographic.alltrees.times.0	demographic.alltrees.times.1	demographic.alltrees.times.2	demographic.alltrees.times.3	demographic.alltrees.times.4	demographic.alltrees.times.5	demographic.alltrees.times.6	demographic.alltrees.times.7	demographic.alltrees.times.8	demographic.alltrees.times.9	demographic.alltrees.times.10	demographic.alltrees.times.11	demographic.alltrees.times.12	demographic.alltrees.times.13	demographic.alltrees.times.14	demographic.alltrees.times.15	demographic.alltrees.times.16	demographic.alltrees.times.17	demographic.alltrees.times.18	
10	4879.0	2.5172468178574263	1043.0	2.5199459566117355	2.5309324330254697	5.760406554422303	5.833231866736384	6.657449501247953	7.482311942567861	11.076088166698526	11.264610350540778	15.073136143866066	17.634664067827515	20.57579434377915	246.0	64.26605303731594	76.26456727832576	80.73062199128283	84.01838017617473	143.5668557911845	
11	4884.0	2.3425604284957444	2.417830885950764	312.0	2.7857799388335422	4.049300944974078	6.18033329623367	7.244273097084147	12.718396139727332	13.416038138218028	14.127877560809964	705.0	15.49003312479303	23.06970761521538	27.88077755798696	63.61437096879531	69.08633086223988	74.16798826418116	247.0	179.9038657236547	
12	4888.0	2.239965194382364	1050.0	2.346235375534661	2.368542852006783	5.191589345853117	5.2968625584323945	5.655086929986453	7.824410900071086	11.068842042013813	14.3427083356612	707.0	19.303299823222318	21.750823045825967	31.37350441150278	65.78406412584232	66.2341521526518	78.68298366132777	84.4854079969998	170.25227170237383	
13	4889.0	2.0212808518686245	1051.0	2.2289694265892592	2.295783382097653	4.298480923380367	4.8029098122184735	6.851427117862613	9.68278153577944	624.0	14.065031293102408	17.29589603159789	17.4977395386218	30.008613427584436	35.14807860281488	70.00023567129246	71.21833582378822	76.39740380536588	82.34518900544795	162.15399864818085	
14	4890.0	2.5217126302307804	1052.0	2.5382012163661614	2.5603896715574592	5.200162404444455	5.843025129196263	9.324009583342587	618.0	16.84444524470416	20.116247455183867	22.74803634120613	29.698871822020635	30.639633871042264	34.32828258039356	310.0	103.12451632435088	103.47393282131884	106.62098072256651	249.45245201398532	
15	4891.0	2.0435460082071017	1053.0	314.0	2.503386069605398	7.46782902623724	346.0	9.29703459410095	11.877204930136884	12.237241787440752	14.161251188819023	15.254415750412079	680.0	26.283338164973998	32.031447186865535	63.35181294337423	89.03852295845455	95.09562018587438	97.38605091776543	216.07319889457625	
16	4897.0	1.9177457596789225	1057.0	2.303061442320967	2.3216530746340425	4.4641372923725555	4.821891530044979	7.169913097306477	8.366786331696062	625.0	14.12959366733341	14.223112965494892	17.024101347505592	30.319235084683015	33.634228099469084	66.5102097791793	73.7076392706192	78.51387945120118	84.7383066869881	185.4254587817707	
17	4898.0	2.5158184419088343	1058.0	2.538903201924711	2.5513337825177302	4.177211896408579	5.811892025481171	7.993529623940844	620.0	13.078641305069539	16.15933587861562	24.989698509207727	25.353057291949625	30.012147247145094	30.286081567507836	63.644153528644836	87.71401766213876	90.21619959036637	92.0021269831447	211.5937248174018	
18	4899.0	1.783080716345836	2.496008607694904	317.0	2.971150632434899	4.572533165406412	5.253304800017929	10.610330037193592	10.799472340470004	11.258427163588294	13.547305818727239	709.0	16.3253556119397	21.443770809822837	26.453297887498763	54.20048660211964	69.57014379036848	73.12701610019472	73.6019762306545	167.4714556504045	
19	4901.0	2.379200282817834	1060.0	2.3946926163487774	2.6146349994711215	5.0340850590602315	5.879490170632806	6.519841722373457	14.224068633206599	15.023765787282628	15.599164323870184	710.0	22.56925596263909	29.715354341160264	34.10860583808437	52.215428717833746	65.01701906341029	67.26652169067097	248.0	179.71174655250627	
20	4902.0	2.517625304789874	1061.0	2.5402426542882495	2.545306052448211	4.096914223302463	4.851286000324933	8.419808982472944	621.0	12.257094487061863	15.68188936788971	21.772652729054585	26.007906914206103	30.2818850295198	32.58358039888773	66.74649536928115	93.30534260248228	93.34438114612533	97.93721950858287	273.47215560362457	
21	4904.0	2.325875991448868	1062.0	2.350434172549228	2.359374787569351	4.971945066596902	5.7367566396753205	8.437416976795731	9.398317485191	11.305022040066689	14.727875804320462	712.0	21.978851955236394	23.782797760147815	29.948400762049545	56.06571820572262	63.30623759503632	81.48818922882859	82.63686608928019	180.58424281040178	
22	4904.0	2.325875991448868	1062.0	2.350434172549228	2.359374787569351	4.971945066596902	5.7367566396753205	8.437416976795731	9.398317485191	11.305022040066689	14.727875804320462	712.0	21.978851955236394	23.782797760147815	29.948400762049545	56.06571820572262	63.30623759503632	81.48818922882859	82.63686608928019	180.58424281040178	
23	4907.0	2.2460220207205737	1065.0	2.3987830407662045	2.5428851951018316	4.083417630267576	7.252852803395456	8.094949220403208	622.0	12.422148768568007	15.85433408461472	15.879327314018497	17.92802551003109	22.57976312477666	29.12865319065574	52.67753184690062	73.86544971834351	74.82383672916492	90.2751552148815	243.21300638211088	
24	4908.0	2.4877504786648785	1066.0	2.545266941961188	2.5472577815991713	4.727819300349182	5.83711427460409	6.689027833414713	11.97900952484656	627.0	14.348599434020713	17.329664572160823	24.73203803819689	27.43297346713942	32.41727200124711	54.92394205601961	76.51848295884392	78.32313591461757	81.45551124060783	182.27596794866736	
25	4911.0	2.3972637125250174	1069.0	2.4055468030088605	2.6153071530939656	251.0	6.0768914131027145	6.088748130557406	11.712284168621693	14.35828377422996	17.02824724124858	17.073322116555204	18.033410647016325	22.651281782968255	36.13686816278451	61.54918048697249	77.32857066824306	78.82536982267716	92.34841542748961	187.0628381193819	
26	4912.0	2.3993745538498388	1070.0	2.425820606803512	2.652176741002677	252.0	7.110000260030603	7.9631587832179775	11.319321850946608	17.628849425543564	17.96928919432915	19.419131344025402	23.558445313923016	24.67584419477285	39.807885958126974	58.993489941566224	73.08746498119302	76.01589529377651	84.5689179206021	218.43824866225418	
27	4918.0	2.1138014258723103	1074.0	2.5510442478838513	2.574399299824478	5.422513745549821	5.646612943149478	9.1618989909054	10.43827381367069	629.0	14.067172438839862	20.215033586447305	20.224927326182524	20.306625660615765	46.7705064974985	63.53840714305326	80.29524150542414	82.78698169220777	250.0	196.57648450055595	
28	4918.0	2.1138014258723103	1074.0	2.5510442478838513	2.574399299824478	5.422513745549821	5.646612943149478	9.1618989909054	10.43827381367069	629.0	14.067172438839862	20.215033586447305	20.224927326182524	20.306625660615765	46.7705064974985	63.53840714305326	80.29524150542414	82.78698169220777	250.0	196.57648450055595	
29	4920.0	1.1953207348912827	1076.0	2.287731225192857	2.4459852998267593	253.0	4.575145469914673	1823.0	8.544004685075151	11.76849066845702	13.38495135527944	14.931512823250955	15.312945728087897	23.43727654687595	26.3359620758432	35.51920778854431	51.13237705418889	51.52773147661925	55.644253848994055	151.74958613955218	
30	4925.0	2.520406938459786	1080.0	2.5381350400587053	2.540582811247674	4.6388585491311005	5.447703519884783	8.53257593075574	624.0	13.819990981846587	14.223612616487856	18.646601799642724	23.933122460861597	24.330254512128477	30.10783866680788	74.69842709133488	110.10821848948814	116.70913513979608	119.79207694945508	244.77044861260472	
31	4931.0	1.5261183312134676	1085.0	2.308222232978892	2.3319365382195656	4.470620107424281	350.0	5.827712145137298	12.155576650821274	14.255903697613576	17.259901889325334	22.30089361384006	24.38523137342665	25.999246722349852	36.34302739635024	52.3557682591759	63.95581706888183	71.41518384036127	73.73442980451313	232.36153726740562	
32	4932.0	2.3430015840909846	2.3905317315332013	323.0	2.4739846698863914	4.864547197159453	5.9971361054421095	7.821539808495459	8.443899582103512	11.810994673899444	14.88302390628536	719.0	20.147800103527317	24.161833958450615	32.80647544399798	58.89831963242926	76.14413740035414	77.65909194863144	80.9426923517191	178.4234153690396	
33	4937.0	2.2609230034199186	1088.0	2.3054242672185694	2.441098250753015	4.230321519228255	353.0	6.651999749201906	11.798901341804083	15.468073769466486	16.17589317516692	22.205808472944824	27.80861904025076	28.279090183888115	41.874355549244996	56.75146146422597	65.11601798045436	75.10282474107464	76.1429977519976	220.51696431599063	
