Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	gammaShape	TPM2uffreqParameter.1	TPM2uffreqParameter.2	TPM2uffreqParameter.3	TPM2uffreqParameter.4	RateAC-Standard_TPM2uf	RateAG-Standard_TPM2uf	RateAT-Standard_TPM2uf	RateCG-Standard_TPM2uf	RateCT-Standard_TPM2uf	RateGT-Standard_TPM2uf	proportionInvariant	fastUcldStdev	fastRatesStat.mean	fastRatesStat.variance	fastRatesStat.coefficientOfVariation	fastUcldMean	popSize	CoalescentConstant	
36	-6405.253008229551	-6335.049266092968	-70.20374213658262	-6335.049266092968	319.148825369184	1119.7837547567287	0.5677039949219511	0.27245298013463193	0.20143727591586014	0.27673956126853816	0.24937018268096978	0.32159290221270365	2.4550426906236775	0.32159290221270365	0.22336440716361822	2.4550426906236775	0.22336440716361822	0.0	0.0838546563956086	8.831026035262768E-5	5.6427716938894914E-11	0.0828478012402904	9.00833314297443E-5	145.29736151543676	-111.42283631506511	
37	-6405.253008229551	-6335.049266092968	-70.20374213658262	-6335.049266092968	319.148825369184	1119.7837547567287	0.5677039949219511	0.27245298013463193	0.20143727591586014	0.27673956126853816	0.24937018268096978	0.32159290221270365	2.4550426906236775	0.32159290221270365	0.22336440716361822	2.4550426906236775	0.22336440716361822	0.0	0.0838546563956086	8.831026035262768E-5	5.6427716938894914E-11	0.0828478012402904	9.00833314297443E-5	145.29736151543676	-111.42283631506511	
38	-6401.060208505854	-6335.021662890814	-66.0385456150396	-6335.021662890814	365.01084318238463	1390.5289720397745	0.5677039949219511	0.2665144955109185	0.20143727591586014	0.27764169222375135	0.25440653634947	0.41636661234280015	2.3758279058231038	0.41636661234280015	0.20780548183409564	2.3758279058231038	0.20780548183409564	0.0	0.06563608610431647	7.323806989025833E-5	2.3765536751520025E-11	0.06643567544819586	7.34623423566033E-5	197.25755038305016	-116.4453554745322	
39	-6401.060208505854	-6335.021662890814	-66.0385456150396	-6335.021662890814	365.01084318238463	1390.5289720397745	0.5677039949219511	0.2665144955109185	0.20143727591586014	0.27764169222375135	0.25440653634947	0.41636661234280015	2.3758279058231038	0.41636661234280015	0.20780548183409564	2.3758279058231038	0.20780548183409564	0.0	0.06563608610431647	7.323806989025833E-5	2.3765536751520025E-11	0.06643567544819586	7.34623423566033E-5	197.25755038305016	-116.4453554745322	
40	-6394.532488038157	-6334.993830188527	-59.53865784963028	-6334.993830188527	207.93717822391167	790.869744661786	0.7736557494932844	0.2724963201777896	0.19919193610205582	0.26936929296373846	0.25894245075641614	0.4547160063879649	2.3823383324837435	0.4547160063879649	0.1629456611282914	2.3823383324837435	0.1629456611282914	0.0	0.07187249034384174	1.4479100618885912E-4	1.0512227735851635E-10	0.06955247319457145	1.4963485786034607E-4	169.43237109408844	-107.43960132580443	
41	-6325.538704705669	-6334.914419973267	9.375715267598004	-6334.914419973267	168.29223737704643	665.143544832642	0.957225228407143	0.25426588388031723	0.1974868196171117	0.2972579609502918	0.25098933555227937	0.3970446107784771	2.4371431343975765	0.3970446107784771	0.16581225482394713	2.4371431343975765	0.16581225482394713	0.0	0.01475213403261181	1.3651493474407868E-4	3.460962112009676E-12	0.013691598127619173	1.3568799679666347E-4	70.68153119161686	-101.82573670671594	
42	-6427.707842190335	-6334.907577457551	-92.8002647327839	-6334.907577457551	382.448009489688	1401.7948681076873	0.2497643772836733	0.2733675753904423	0.21697945345331565	0.2779601312256639	0.23169283993057813	0.468292308392159	2.376229303794897	0.468292308392159	0.15547838781294465	2.376229303794897	0.15547838781294465	0.0	0.15619285051065043	7.088842213654464E-5	7.740314640876114E-11	0.12490323047929142	6.88683799209468E-5	102.07945688348642	-117.33252597047377	
43	-6419.930957288261	-6334.851325127385	-85.07963216087623	-6334.851325127385	177.48534861939416	717.7778209154266	0.7736557494932844	0.2724963201777896	0.1967567811111995	0.2778046511658822	0.25294224754512873	0.4344569207687338	2.4025974181029746	0.4344569207687338	0.1629456611282914	2.4025974181029746	0.1629456611282914	0.0	0.1862239734869699	1.38473937750411E-4	3.8878683304942335E-10	0.14338486605695902	1.41178737173203E-4	105.79126323007016	-103.66431908753964	
44	-6405.305354409684	-6334.8060215614905	-70.4993328481931	-6334.8060215614905	202.95919178612743	755.5324382040164	0.211125265226397	0.2957913546757042	0.17559979183285784	0.2874438167881008	0.24116503670333717	0.37429967358048716	2.460819057211276	0.37429967358048716	0.16488126920823729	2.460819057211276	0.16488126920823729	0.0	0.10261506002908843	1.2479453409610297E-4	1.4503656968045775E-10	0.09674815554707351	1.2245000073177385E-4	138.77442762744823	-105.74139735877417	
45	-6412.860455947918	-6334.642757908468	-78.2176980394495	-6334.642757908468	346.6528921707635	1289.1557357179806	0.5677039949219511	0.2712907708694213	0.19884797858697695	0.27790177053374876	0.25195948000985297	0.4945615497351998	2.3758279058231038	0.4945615497351998	0.129610544441696	2.3758279058231038	0.129610544441696	0.0	0.1067553882125134	7.828304993104622E-5	5.119351260782598E-11	0.09372722238108878	7.544532610262806E-5	131.2795143869029	-114.89129783036002	
46	-6412.860455947918	-6334.642757908468	-78.2176980394495	-6334.642757908468	346.6528921707635	1289.1557357179806	0.5677039949219511	0.2712907708694213	0.19884797858697695	0.27790177053374876	0.25195948000985297	0.4945615497351998	2.3758279058231038	0.4945615497351998	0.129610544441696	2.3758279058231038	0.129610544441696	0.0	0.1067553882125134	7.828304993104622E-5	5.119351260782598E-11	0.09372722238108878	7.544532610262806E-5	131.2795143869029	-114.89129783036002	
47	-6420.7884910550065	-6334.598974454309	-86.18951660069679	-6334.598974454309	179.52973197855803	665.7328803642216	0.4236990358254822	0.2613834080642844	0.20399530082140876	0.28254828854411035	0.2520730025701965	0.3938916286623854	2.4774315525269004	0.3938916286623854	0.12867681881071402	2.4774315525269004	0.12867681881071402	0.0	0.18566421580489179	1.3978684040607942E-4	4.382520999879075E-10	0.16958756592760468	1.231218650520406E-4	70.58664090925183	-101.42117571971706	
48	-6318.788804670808	-6334.470159386215	15.681354715407101	-6334.470159386215	441.9246346506486	1708.0188765023167	0.5677039949219511	0.26850808994455216	0.20143727591586014	0.2806844514586179	0.24937018268096978	0.3698088937191067	2.5199450866679	0.3698088937191067	0.11024601961299292	2.5199450866679	0.11024601961299292	0.0	0.006446393387669832	6.065619830238898E-5	1.9550500126135515E-13	0.007315878809805645	6.046255466368975E-5	183.1965944572315	-119.72892468439461	
49	-6323.876988528832	-6334.431585575853	10.554597047020827	-6334.431585575853	196.48072369081032	747.0285453476349	0.7736557494932844	0.2702206913562303	0.20593474951519497	0.2778046511658822	0.24603990796269254	0.4344569207687338	2.4025974181029746	0.4344569207687338	0.1629456611282914	2.4025974181029746	0.1629456611282914	0.0	0.015643202534934664	1.3716890877003244E-4	2.909139498015205E-12	0.012496209045854174	1.3666591570717923E-4	81.20327122844186	-102.60254655384112	
