#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="CoalescentConstant.t:HRTV_L_BEAST" spec="beast.base.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ConstantPopulation.t:HRTV_L_BEAST" spec="beast.base.evolution.tree.coalescent.ConstantPopulation">
#                <parameter id="popSize.t:HRTV_L_BEAST" lower="0.0" name="popSize" spec="beast.base.inference.parameter.RealParameter">0.3</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals.t:HRTV_L_BEAST" spec="beast.base.evolution.tree.TreeIntervals">
#                <tree id="Tree.t:HRTV_L_BEAST" spec="beast.base.evolution.tree.Tree">
#                    <trait id="dateTrait.t:HRTV_L_BEAST" spec="beast.base.evolution.tree.TraitSet" traitname="date" value="HRTV-23_T_L_2019=2019,HRTV-26_T_L_2019=2019,HRTV-100_T_L_2022=2022,HRTV-404_T_L_2021=2021,HRTV-187_T_L_2022=2022,HRTV-504_T_L_2019=2019,HRTV-056F_T_L_2023=2023,HRTV-432R_T_L_2023=2023,HRTV-642T_T_L_2023=2023,KJ740148_H_L_TN_2013=2013,OK480068.1_H_L_KY_2017=2017,OK480065.1_H_L_MO_2017=2017,MZ440342_T_L_NY_2018=2018,MZ440345_T_L_NY_2018=2018,NC_024495_H_L_MO_2009=2009,JX005847_H_L_MO_2009=2009,OQ688981.1_T_L_MO_2012=2012,OQ688987.1_T_L_MO_2012=2012,OQ688984.1_T_L_KS_2015=2015,OR322047.1_H_L_OK_2017=2017">
#                        <taxa id="TaxonSet.HRTV_L_BEAST" spec="beast.base.evolution.alignment.TaxonSet">
#                        </taxa>
#                    </trait>
#                    <taxonset idref="TaxonSet.HRTV_L_BEAST"/>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="ClockPrior.c:HRTV_L_BEAST" name="distribution">
#            <parameter id="clockRate.c:HRTV_L_BEAST" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">0.0012566</parameter>
#            <Gamma id="Gamma.3" name="distr">
#                <parameter estimate="false" id="RealParameter.9" name="alpha" spec="beast.base.inference.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="RealParameter.10" name="beta" spec="beast.base.inference.parameter.RealParameter">2.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="PopSizePrior.t:HRTV_L_BEAST" name="distribution" x="@popSize.t:HRTV_L_BEAST">
#            <LogNormal id="LogNormalDistributionModel.1" name="distr">
#                <parameter estimate="false" id="RealParameter.7" name="M" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.8" lower="0.0" name="S" spec="beast.base.inference.parameter.RealParameter" upper="5.0">1.25</parameter>
#            </LogNormal>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@HRTV_L_BEAST" id="treeLikelihood.HRTV_L_BEAST" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:HRTV_L_BEAST">
#            <siteModel id="SiteModel.s:HRTV_L_BEAST" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:HRTV_L_BEAST" lower="0.0" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:HRTV_L_BEAST" lower="0.1" name="shape" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:HRTV_L_BEAST" lower="0.0" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.801</parameter>
#                <substModel id="Standard_TIM3uf.s:HRTV_L_BEAST" spec="substmodels.nucleotide.TIM3uf">
#                    <parameter dimension="4" id="TIM3ufrates.s:HRTV_L_BEAST" lower="0.0" name="rates" spec="beast.base.inference.parameter.RealParameter">1.0 1.0 1.0 1.0</parameter>
#                    <frequencies id="TIM3ufFreqs.s:HRTV_L_BEAST" spec="beast.base.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="4" id="TIM3uffreqParameter.s:HRTV_L_BEAST" lower="0.0" name="frequencies" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.25</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:HRTV_L_BEAST" id="StrictClock.c:HRTV_L_BEAST" spec="beast.base.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	TIM3uffreqParameter.1	TIM3uffreqParameter.2	TIM3uffreqParameter.3	TIM3uffreqParameter.4	RateAC-Standard_TIM3uf	RateAG-Standard_TIM3uf	RateAT-Standard_TIM3uf	RateCG-Standard_TIM3uf	RateCT-Standard_TIM3uf	RateGT-Standard_TIM3uf	popSize	CoalescentConstant	clockRate
15000	-11745.751610458641	-11643.815238461892	-101.93637199674937	-11643.815238461892	43.21157927857467	247.2417381597166	0.2800163795397549	0.24223819710335923	0.2444371010885484	0.23330832226833753	0.8795882387120045	1.6951563649225712	0.5384653972605007	0.8795882387120045	1.4687363631324182	0.5384653972605007	26.865559799363872	-86.3381510430071	3.036919771024346E-4
16000	-11747.390438235958	-11646.715498526273	-100.67493970968452	-11646.715498526273	39.889258964167176	231.2950365300776	0.2800163795397549	0.24223819710335923	0.2444371010885484	0.23330832226833753	0.8795882387120045	1.6097855253615527	0.5384653972605007	0.8795882387120045	1.5541072026934366	0.5384653972605007	26.17599766792282	-85.0841929208133	2.8702543426200905E-4
17000	-11739.201952322543	-11634.481069103194	-104.7208832193478	-11634.481069103194	50.06173623740873	281.08255785926457	0.2800163795397549	0.235622443959275	0.2444371010885484	0.23992407541242175	0.8795882387120045	1.6097855253615527	0.5384653972605007	0.8795882387120045	1.5541072026934366	0.5384653972605007	33.460390342538886	-88.50944703511742	2.8702543426200905E-4
18000	-11722.724133276346	-11617.687176012983	-105.03695726336292	-11617.687176012983	56.09989591675921	294.21165930395614	0.2800163795397549	0.235622443959275	0.2444371010885484	0.23992407541242175	0.8795882387120045	1.6097855253615527	0.2273854114566417	0.8795882387120045	2.1762671743011546	0.2273854114566417	37.54390004573061	-88.28062361615093	2.2566137296954248E-4
19000	-11673.514807059511	-11560.359391894031	-113.1554151654795	-11560.359391894031	68.57303912946855	389.39566151395417	0.2800163795397549	0.235622443959275	0.2444371010885484	0.23992407541242175	0.6131783610978483	2.142605280589865	0.309053755459843	0.6131783610978483	2.012930486294752	0.309053755459843	60.25434619832016	-94.88210053336483	1.8897494332243892E-4
20000	-11655.42568864915	-11540.533755528673	-114.89193312047533	-11540.533755528673	64.57654166035734	394.7273574136002	0.2800163795397549	0.235622443959275	0.2444371010885484	0.23992407541242175	0.3905804950806232	2.5878010126243156	0.309053755459843	0.3905804950806232	2.012930486294752	0.309053755459843	48.582215517419804	-97.2460928611442	1.8897494332243892E-4
21000	-11645.744985273343	-11531.512883172516	-114.23210210082628	-11531.512883172516	65.07340420878711	393.32347667705534	0.2800163795397549	0.23040279148111698	0.24965675356670644	0.23992407541242175	0.36219604940393346	2.5878010126243156	0.33743820113653267	0.36219604940393346	2.012930486294752	0.33743820113653267	49.17949775149183	-96.55144668394296	1.8897494332243892E-4
22000	-11645.7080421953	-11530.336685046956	-115.37135714834433	-11530.336685046956	64.12005087407678	401.8422074812103	0.2832457033623111	0.23040279148111698	0.24642742974415022	0.23992407541242175	0.36219604940393346	2.5878010126243156	0.33743820113653267	0.36219604940393346	2.012930486294752	0.33743820113653267	49.80815504662313	-97.58259916257067	1.7587909623947598E-4
23000	-11637.416132434888	-11520.664489330571	-116.75164310431627	-11520.664489330571	71.49222373589632	432.9076318933408	0.2832457033623111	0.2133789363907456	0.26345128483452157	0.23992407541242175	0.36219604940393346	2.5878010126243156	0.33743820113653267	0.36219604940393346	2.012930486294752	0.33743820113653267	68.72611958759698	-97.99680848267266	1.7382759348932896E-4
24000	-11637.769826045489	-11520.901014573672	-116.86881147181792	-11520.901014573672	67.47253789720494	427.5258263670332	0.2832457033623111	0.2133789363907456	0.26345128483452157	0.23992407541242175	0.36219604940393346	2.5878010126243156	0.33743820113653267	0.36219604940393346	2.012930486294752	0.33743820113653267	62.57503007107453	-98.39876122495585	1.7382759348932896E-4
25000	-11643.160616466128	-11524.02993137395	-119.13068509217757	-11524.02993137395	78.54687938093122	482.7948393854727	0.2832457033623111	0.2133789363907456	0.26345128483452157	0.23992407541242175	0.36219604940393346	2.5878010126243156	0.33743820113653267	0.36219604940393346	2.012930486294752	0.33743820113653267	64.6533879661074	-100.56203295378292	1.7382759348932896E-4
26000	-11649.68645324608	-11532.27971335823	-117.40673988785028	-11532.27971335823	77.63901869883063	454.2338310510067	0.2832457033623111	0.2133789363907456	0.26345128483452157	0.23992407541242175	0.36219604940393346	2.5878010126243156	0.33743820113653267	0.36219604940393346	2.012930486294752	0.33743820113653267	53.70872337350261	-99.50473730698981	1.9521638805472907E-4
27000	-11630.433168022133	-11514.160390428133	-116.27277759399948	-11514.160390428133	72.32428239473839	428.7222182759814	0.2832457033623111	0.21098408271822053	0.26345128483452157	0.24231892908494682	0.36219604940393346	2.5090938184544926	0.33743820113653267	0.36219604940393346	2.091637680464575	0.33743820113653267	60.221354806456986	-97.85075024143919	1.6259376040662245E-4
28000	-11623.436348770176	-11508.693357086535	-114.742991683641	-11508.693357086535	65.81337140520661	400.96129296101105	0.29178044316911583	0.21323974171044727	0.25299922996597324	0.24198058515446363	0.36219604940393346	2.5090938184544926	0.33743820113653267	0.36219604940393346	2.091637680464575	0.33743820113653267	60.62970475092906	-96.429164348751	1.8486719841596935E-4
