Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	clockRate	TIM3uffreqParameter.1	TIM3uffreqParameter.2	TIM3uffreqParameter.3	TIM3uffreqParameter.4	RateAC-Standard_TIM3uf	RateAG-Standard_TIM3uf	RateAT-Standard_TIM3uf	RateCG-Standard_TIM3uf	RateCT-Standard_TIM3uf	RateGT-Standard_TIM3uf	BayesianSkyline	bPopSizes.1	bPopSizes.2	bPopSizes.3	bPopSizes.4	bPopSizes.5	bGroupSizes.1	bGroupSizes.2	bGroupSizes.3	bGroupSizes.4	bGroupSizes.5	proportionInvariant	
271	-11601.549616000837	-11477.768329843313	-123.78128615752331	-11477.768329843313	123.14890378821192	800.2577474663576	9.461623792731816E-5	0.3046470405290279	0.20503502158303988	0.23962705721278188	0.25069088067515044	0.09508760720628096	2.5070527294268987	0.3892893972501439	0.09508760720628096	2.524193261660254	0.3892893972501439	-97.0308125652359	38.21515573162984	66.56001095551903	97.6543170273729	208.2649267711548	0.8550863572585505	1.0	3.0	3.0	10.0	2.0	0.7717467572178098	
272	-11601.549616000837	-11477.768329843313	-123.78128615752331	-11477.768329843313	123.14890378821192	800.2577474663576	9.461623792731816E-5	0.3046470405290279	0.20503502158303988	0.23962705721278188	0.25069088067515044	0.09508760720628096	2.5070527294268987	0.3892893972501439	0.09508760720628096	2.524193261660254	0.3892893972501439	-97.0308125652359	38.21515573162984	66.56001095551903	97.6543170273729	208.2649267711548	0.8550863572585505	1.0	3.0	3.0	10.0	2.0	0.7717467572178098	
273	-11601.549616000837	-11477.768329843313	-123.78128615752331	-11477.768329843313	123.14890378821192	800.2577474663576	9.461623792731816E-5	0.3046470405290279	0.20503502158303988	0.23962705721278188	0.25069088067515044	0.09508760720628096	2.5070527294268987	0.3892893972501439	0.09508760720628096	2.524193261660254	0.3892893972501439	-97.0308125652359	38.21515573162984	66.56001095551903	97.6543170273729	208.2649267711548	0.8550863572585505	1.0	3.0	3.0	10.0	2.0	0.7717467572178098	
274	-11605.988368858452	-11477.746735395898	-128.24163346255415	-11477.746735395898	128.6929973522959	770.7002388282569	9.461623792731816E-5	0.3046470405290279	0.20589942630382127	0.23962705721278188	0.24982647595436905	0.09508760720628096	2.620267713173237	0.32878688638488107	0.09508760720628096	2.531983299644441	0.32878688638488107	-99.94946003595686	15.447112240196029	73.52724163037271	135.36744901716	193.43738574340824	61.27329488637022	5.0	3.0	2.0	5.0	4.0	0.7717467572178098	
275	-11607.76654063282	-11477.746434109393	-130.0201065234265	-11477.746434109393	154.17607226686064	963.0350469840065	6.91882215887504E-5	0.3085276124415445	0.1990206376150304	0.2425159596653237	0.24993579027810162	0.13346785887975038	2.4595640043923472	0.35302124995128353	0.13346785887975038	2.567457777945587	0.35302124995128353	-102.52209996593996	52.50478076480053	39.22738640601015	118.16346850137737	217.50913997210816	33.143028664718464	3.0	3.0	5.0	4.0	4.0	0.7717467572178098	
276	-11607.76654063282	-11477.746434109393	-130.0201065234265	-11477.746434109393	154.17607226686064	963.0350469840065	6.91882215887504E-5	0.3085276124415445	0.1990206376150304	0.2425159596653237	0.24993579027810162	0.13346785887975038	2.4595640043923472	0.35302124995128353	0.13346785887975038	2.567457777945587	0.35302124995128353	-102.52209996593996	52.50478076480053	39.22738640601015	118.16346850137737	217.50913997210816	33.143028664718464	3.0	3.0	5.0	4.0	4.0	0.7717467572178098	
277	-11607.76654063282	-11477.746434109393	-130.0201065234265	-11477.746434109393	154.17607226686064	963.0350469840065	6.91882215887504E-5	0.3085276124415445	0.1990206376150304	0.2425159596653237	0.24993579027810162	0.13346785887975038	2.4595640043923472	0.35302124995128353	0.13346785887975038	2.567457777945587	0.35302124995128353	-102.52209996593996	52.50478076480053	39.22738640601015	118.16346850137737	217.50913997210816	33.143028664718464	3.0	3.0	5.0	4.0	4.0	0.7717467572178098	
278	-11591.091546671985	-11477.698691891937	-113.39285478004706	-11477.698691891937	76.7211567286774	477.49769116669114	1.3796413294959482E-4	0.30111480311500977	0.19403009223650175	0.26215991967719177	0.24269518497129683	0.1596270287638521	2.2849570315635668	0.3027802569418249	0.1596270287638521	2.790228397025082	0.3027802569418249	-85.92752089843222	17.600393136210105	50.930358673230245	102.2073100469657	269.7787335351607	9.277985362970094	3.0	3.0	8.0	1.0	4.0	0.7717467572178098	
279	-11610.624982574147	-11477.616801468968	-133.00818110517875	-11477.616801468968	159.76015528397568	1026.8887526207084	6.91882215887504E-5	0.31010163927952267	0.199562244583242	0.24583816596770186	0.24449795016953355	0.15391182000582412	2.4882121102687065	0.33941352101984806	0.15391182000582412	2.5251372076799514	0.33941352101984806	-107.78412471056757	87.56553203248541	95.14946646823144	177.59945260947833	28.720158366486643	2.0635283371588335	9.0	1.0	7.0	1.0	1.0	0.7717467572178098	
280	-11607.2838969195	-11477.567972498444	-129.71592442105532	-11477.567972498444	120.60385648235132	744.09451269637	9.461623792731816E-5	0.3046470405290279	0.20589942630382127	0.23962705721278188	0.24982647595436905	0.09508760720628096	2.581329325738615	0.34825608010219206	0.09508760720628096	2.531983299644441	0.34825608010219206	-100.58490047374066	42.59972498405036	97.81270083502491	141.3161738023952	337.3258693090557	48.6911816724902	4.0	7.0	3.0	2.0	3.0	0.7717467572178098	
281	-11583.988860482217	-11477.5615395476	-106.42732093461781	-11477.5615395476	73.57996980190202	465.5358606745299	1.5833858654072487E-4	0.2929970107573751	0.21161020392090593	0.2547665363314796	0.24062624899023935	0.11371481151025553	2.0911003722147856	0.36058921612875106	0.11371481151025553	2.960291572507204	0.36058921612875106	-82.40327674425446	22.304641848711977	84.40914078497661	193.0984127354247	3.735180153000835	2.638590245073298	6.0	6.0	3.0	3.0	1.0	0.7717467572178098	
282	-11614.621664771134	-11477.556368953865	-137.06529581726835	-11477.556368953865	154.8764344516067	979.5500727390897	7.233629365133844E-5	0.302633496695929	0.19587025656051407	0.2552891032330021	0.24620714351055487	0.062234387768277194	2.500954415186741	0.3268509914819855	0.062234387768277194	2.720874826312736	0.3268509914819855	-107.19452597542292	155.4982609838644	97.968570479677	356.7471944612886	66.94762468960754	43.70203327559367	11.0	2.0	2.0	2.0	2.0	0.7717467572178098	
283	-11605.605140286401	-11477.514217318223	-128.09092296817852	-11477.514217318223	138.02405764361498	915.1107231802322	6.91882215887504E-5	0.3094344127260522	0.1990206376150304	0.25499612437927704	0.23654882527964052	0.10871851824315187	2.564462665968909	0.3253212597996012	0.10871851824315187	2.567457777945587	0.3253212597996012	-102.05638201432605	58.058210893556414	23.510824958469744	70.54726085718099	146.95069489318598	2.8237422953899496	2.0	3.0	4.0	8.0	2.0	0.7717467572178098	
284	-11605.605140286401	-11477.514217318223	-128.09092296817852	-11477.514217318223	138.02405764361498	915.1107231802322	6.91882215887504E-5	0.3094344127260522	0.1990206376150304	0.25499612437927704	0.23654882527964052	0.10871851824315187	2.564462665968909	0.3253212597996012	0.10871851824315187	2.567457777945587	0.3253212597996012	-102.05638201432605	58.058210893556414	23.510824958469744	70.54726085718099	146.95069489318598	2.8237422953899496	2.0	3.0	4.0	8.0	2.0	0.7717467572178098	
285	-11622.877242230821	-11477.512910823405	-145.3643314074164	-11477.512910823405	181.63555684231397	1115.4753921269782	6.505840456708383E-5	0.3049503215553091	0.19348999809934314	0.2467309526031065	0.25482872774224125	0.10043257685660324	2.4083773083372484	0.26302452032702306	0.10043257685660324	2.8647084972955015	0.26302452032702306	-114.13591541086367	203.9124709220729	218.85422626532048	188.8414424234733	384.4352649099017	15.396264149833573	3.0	3.0	5.0	6.0	2.0	0.7717467572178098	
