#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="CoalescentConstant.t:HRTV_S_BEAST" spec="beast.base.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ConstantPopulation.t:HRTV_S_BEAST" spec="beast.base.evolution.tree.coalescent.ConstantPopulation">
#                <parameter id="popSize.t:HRTV_S_BEAST" lower="0.0" name="popSize" spec="beast.base.inference.parameter.RealParameter">0.3</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals.t:HRTV_S_BEAST" spec="beast.base.evolution.tree.TreeIntervals">
#                <tree id="Tree.t:HRTV_S_BEAST" spec="beast.base.evolution.tree.Tree">
#                    <trait id="dateTrait.t:HRTV_S_BEAST" spec="beast.base.evolution.tree.TraitSet" traitname="date" value="HRTV-23_T_S_2019=2019,HRTV-26_T_S_2019=2019,HRTV-404_T_S_2021=2021,HRTV-100_T_S_2022=2022,HRTV-187_T_S_2022=2022,HRTV-056F_T_S_2023=2023,HRTV-504_T_S_2019=2019,HRTV-432R_T_S_2023=2023,HRTV-642T_T_S_2023=2023,JX005843_H_S_MO_2009=2009,OQ688983.1_T_S_MO_2012=2012,OQ688989.1_T_S_MO_2012=2012,OQ688986.1_T_S_KS_2015=2015,OQ688993.1_H_S_OK_2017=2017,MZ440341_T_S_NY_2018=2018,MZ440344_T_S_NY_2018=2018,NC_024496_H_S_MO_2009=2009,KJ740146_H_S_TN_2013=2013,OQ688998.1_H_S_KY_2017=2017,OQ689001.1_H_S_MO_2017=2017">
#                        <taxa id="TaxonSet.HRTV_S_BEAST" spec="beast.base.evolution.alignment.TaxonSet">
#                        </taxa>
#                    </trait>
#                    <taxonset idref="TaxonSet.HRTV_S_BEAST"/>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="ClockPrior.c:HRTV_S_BEAST" name="distribution">
#            <parameter id="clockRate.c:HRTV_S_BEAST" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter" upper="10.0">0.0016226</parameter>
#            <Uniform id="Uniform.0" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="PopSizePrior.t:HRTV_S_BEAST" name="distribution" x="@popSize.t:HRTV_S_BEAST">
#            <OneOnX id="OneOnX.1" name="distr"/>
#        </prior>
#        <prior id="PropInvariantPrior.s:HRTV_S_BEAST" name="distribution">
#            <parameter id="proportionInvariant.s:HRTV_S_BEAST" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.769</parameter>
#            <Uniform id="Uniform.2" name="distr"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@HRTV_S_BEAST" id="treeLikelihood.HRTV_S_BEAST" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:HRTV_S_BEAST">
#            <siteModel id="SiteModel.s:HRTV_S_BEAST" proportionInvariant="@proportionInvariant.s:HRTV_S_BEAST" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:HRTV_S_BEAST" lower="0.0" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:HRTV_S_BEAST" lower="0.1" name="shape" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <substModel id="Standard_TPM3.s:HRTV_S_BEAST" spec="substmodels.nucleotide.TPM3">
#                    <parameter dimension="3" id="TPM3rates.s:HRTV_S_BEAST" lower="0.0" name="rates" spec="beast.base.inference.parameter.RealParameter">1.0 1.0 1.0</parameter>
#                </substModel>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:HRTV_S_BEAST" id="StrictClock.c:HRTV_S_BEAST" spec="beast.base.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	NSlikelihood	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	clockRate	RateAC-Standard_TPM3	RateAG-Standard_TPM3	RateAT-Standard_TPM3	RateCG-Standard_TPM3	RateCT-Standard_TPM3	RateGT-Standard_TPM3	proportionInvariant	popSize	CoalescentConstant	mutationRate
13	-7486.050970703678	-7497.569205385362	-7486.050970703683	-11.518234681678692	-7486.050970703683	15.676526798721689	25.84559771989305	8.875375169868969	0.6850468051838996	1.2525190499782675	1.062434144837833	0.6850468051838996	1.2525190499782675	1.062434144837833	0.33642407556943277	0.7370783103470183	-11.823295818557167	1.0
14	-7481.145212330713	-7503.051730453047	-7481.145212330713	-21.90651812233412	-7481.145212330713	15.602006973221833	30.12331320409855	3.8257014739003767	0.6685057402423423	1.1143976188594282	1.2170966408982296	0.6685057402423423	1.1143976188594282	1.2170966408982296	0.3780615041228966	1.5064981365962906	-21.496730279655864	1.0
15	-7478.685557005008	-7492.374348669754	-7478.685557005008	-13.688791664745313	-7478.685557005008	14.95776199251342	27.141984074295166	8.771204419320586	0.6685057402423423	1.2718069338243476	1.0596873259333102	0.6685057402423423	1.2718069338243476	1.0596873259333102	0.3780615041228966	0.6922181715662847	-14.056645760969186	1.0
16	-7436.525906283151	-7450.68929360596	-7436.52590628315	-14.163387322810586	-7436.52590628315	14.574923136539551	26.264558079660404	3.748977344167222	0.619356159295186	1.149512074918727	1.231131765786087	0.619356159295186	1.149512074918727	1.231131765786087	0.3777487067762883	0.8237913106315607	-14.357225367756591	1.0
17	-7417.1753296521365	-7422.702496552217	-7417.1753296521365	-5.527166900080484	-7417.1753296521365	15.081232853325565	22.515733511143125	7.104520750123432	0.6182044394704183	1.1166720012057738	1.265123559323808	0.6182044394704183	1.1166720012057738	1.265123559323808	0.3780615041228966	0.4277331716197511	-6.376422608689583	1.0
18	-7320.105340465869	-7327.220948435821	-7320.105340465872	-7.115607969948589	-7320.105340465872	14.235108280230506	21.736978747729182	5.686737999748411	0.6685057402423423	1.2093777372840946	1.1221165224735632	0.6685057402423423	1.2093777372840946	1.1221165224735632	0.3780615041228966	0.7351112605071085	-7.4233413863343	1.0
19	-7296.15544797241	-7289.712462558329	-7296.15544797241	6.4429854140806295	-7296.15544797241	14.384828973569547	18.658313584208614	2.434983901865923	0.5818878698003112	1.2209081885187532	1.1972039416809355	0.5818878698003112	1.2209081885187532	1.1972039416809355	0.33642407556943277	0.30864963522005434	5.267436902081403	1.0
20	-7278.68015430757	-7288.994312480394	-7278.68015430757	-10.314158172824134	-7278.68015430757	14.880428272679609	25.163867703589574	2.8301878740335966	0.6850468051838996	1.3498188536254674	0.965134341190633	0.6850468051838996	1.3498188536254674	0.965134341190633	0.33642407556943277	0.7616324437583742	-10.586449369763793	1.0
21	-7183.506025690505	-7200.532342828823	-7183.506025690504	-17.026317138318728	-7183.506025690504	14.632787354142	26.70358358654375	4.793613887775527	1.0138828820454289	0.8434913675245068	1.1426257504300643	1.0138828820454289	0.8434913675245068	1.1426257504300643	0.4690180109174396	0.5685707645493594	-17.59094663595639	1.0
22	-7162.769902738365	-7172.024864942999	-7162.769902738363	-9.254962204635142	-7162.769902738363	14.604977798224299	24.37666243548572	7.707729634040024	0.619356159295186	1.149512074918727	1.231131765786087	0.619356159295186	1.149512074918727	1.231131765786087	0.3777487067762883	0.47615724702808815	-9.996969333040358	1.0
23	-7141.242583062201	-7159.472876905728	-7141.242583062201	-18.230293843526653	-7141.242583062201	14.908744438683465	28.061534449810843	0.7984921890433659	0.7488773705754244	1.1084968789945113	1.1426257504300643	0.7488773705754244	1.1084968789945113	1.1426257504300643	0.28608453520071364	0.7974544769171152	-18.456624371714636	1.0
24	-7126.232597384777	-7148.360188707056	-7126.232597384777	-22.127591322278718	-7126.232597384777	17.921534444198702	35.82815098143824	1.5673966352219593	0.716999256274846	1.205984403347339	1.077016340377815	0.716999256274846	1.205984403347339	1.077016340377815	0.3780615041228966	1.2106386364127186	-21.93644330321861	1.0
25	-7120.002397745031	-7142.561706962804	-7120.002397745031	-22.559309217773087	-7120.002397745031	14.695515220497285	29.496222175581998	1.495296245429307	0.6751030649039175	1.1855414376786726	1.13935549741741	0.6751030649039175	1.1855414376786726	1.13935549741741	0.3780615041228966	0.8767671047360526	-22.690823098673967	1.0
