Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	clockRate	RateAC-Standard_TPM3	RateAG-Standard_TPM3	RateAT-Standard_TPM3	RateCG-Standard_TPM3	RateCT-Standard_TPM3	RateGT-Standard_TPM3	proportionInvariant	popSize	CoalescentConstant	mutationRate	
21	-3545.5102615652577	-3437.040103063594	-108.47015850166368	-3437.040103063594	114.36787744778037	562.8682781268269	2.0085753871849167E-4	0.09283732170147382	2.1535057304858514	0.7536569478126744	0.09283732170147382	2.1535057304858514	0.7536569478126744	0.6448290588346599	57.46913377999423	-104.41891050181731	1.0	
22	-3533.082159072873	-3436.814381156254	-96.2677779166189	-3436.814381156254	57.880219389916576	323.6439947673247	3.93758274073444E-4	0.19805426254058453	2.303336007639355	0.49860972982006085	0.19805426254058453	2.303336007639355	0.49860972982006085	0.7222778572704517	47.881314640964426	-92.39905257931015	1.0	
23	-3537.8529448623967	-3436.786101056663	-101.06684380573375	-3436.786101056663	73.70217624921415	391.71954954942083	1.7709762865205628E-4	0.07497527856022615	2.3219791965146763	0.6030455249250983	0.07497527856022615	2.3219791965146763	0.6030455249250983	0.8480267032096531	88.28302673842411	-96.5862959392689	1.0	
24	-3532.540480889366	-3436.7119568604476	-95.82852402891835	-3436.7119568604476	93.52707819370522	395.6932189796265	2.8217818369209984E-4	0.22447865258122762	2.3167993288532913	0.4587220185654817	0.22447865258122762	2.3167993288532913	0.4587220185654817	0.8480267032096531	37.72045425790377	-92.19832152833314	1.0	
25	-3528.2110133537653	-3436.698450990273	-91.5125623634922	-3436.698450990273	60.76780627887236	284.4177247529805	3.1426201136312723E-4	0.1615821784968081	2.2087502485195762	0.6296675729836161	0.1615821784968081	2.2087502485195762	0.6296675729836161	0.5992685818972535	50.47090795737265	-87.59116527326077	1.0	
26	-3545.063610733798	-3436.6009895259635	-108.46262120783486	-3436.6009895259635	124.0872116486051	630.035799112416	1.6963421808303587E-4	0.09954042461047521	2.3219791965146763	0.5784803788748493	0.09954042461047521	2.3219791965146763	0.5784803788748493	0.8480267032096531	65.38593371839254	-104.2823140532634	1.0	
27	-3545.063610733798	-3436.6009895259635	-108.46262120783486	-3436.6009895259635	124.0872116486051	630.035799112416	1.6963421808303587E-4	0.09954042461047521	2.3219791965146763	0.5784803788748493	0.09954042461047521	2.3219791965146763	0.5784803788748493	0.8480267032096531	65.38593371839254	-104.2823140532634	1.0	
28	-3530.354884572763	-3436.6006343646245	-93.75425020813832	-3436.6006343646245	75.4095009097717	334.64127985477825	2.8613842195446336E-4	0.15834711264030515	2.26751267022918	0.5741402171305158	0.15834711264030515	2.26751267022918	0.5741402171305158	0.8480267032096531	35.11595699033411	-90.1955945658634	1.0	
29	-3530.354884572763	-3436.6006343646245	-93.75425020813832	-3436.6006343646245	75.4095009097717	334.64127985477825	2.8613842195446336E-4	0.15834711264030515	2.26751267022918	0.5741402171305158	0.15834711264030515	2.26751267022918	0.5741402171305158	0.8480267032096531	35.11595699033411	-90.1955945658634	1.0	
30	-3532.3941052128707	-3436.5876187028134	-95.80648651005748	-3436.5876187028134	75.79346519329884	353.30462029545015	2.8613842195446336E-4	0.15834711264030515	2.26751267022918	0.5741402171305158	0.15834711264030515	2.26751267022918	0.5741402171305158	0.8480267032096531	63.36826778444152	-91.65752328204215	1.0	
31	-3532.3941052128707	-3436.5876187028134	-95.80648651005748	-3436.5876187028134	75.79346519329884	353.30462029545015	2.8613842195446336E-4	0.15834711264030515	2.26751267022918	0.5741402171305158	0.15834711264030515	2.26751267022918	0.5741402171305158	0.8480267032096531	63.36826778444152	-91.65752328204215	1.0	
32	-3536.4996653072626	-3436.519610076172	-99.9800552310909	-3436.519610076172	101.26520598989936	443.3303159955489	2.0841324700080426E-4	0.22447865258122762	2.2989331644992	0.4765881829195734	0.22447865258122762	2.2989331644992	0.4765881829195734	0.8480267032096531	73.47316913298019	-95.68313493732734	1.0	
33	-3537.241715601844	-3436.5095602657993	-100.73215533604466	-3436.5095602657993	95.82826930505196	455.9685093578298	1.8712559162532169E-4	0.15275649306535094	2.171219100886951	0.676024406047698	0.15275649306535094	2.171219100886951	0.676024406047698	0.6448290588346599	70.16504379059153	-96.48130510073298	1.0	
34	-3537.241715601844	-3436.5095602657993	-100.73215533604466	-3436.5095602657993	95.82826930505196	455.9685093578298	1.8712559162532169E-4	0.15275649306535094	2.171219100886951	0.676024406047698	0.15275649306535094	2.171219100886951	0.676024406047698	0.6448290588346599	70.16504379059153	-96.48130510073298	1.0	
35	-3537.241715601844	-3436.5095602657993	-100.73215533604466	-3436.5095602657993	95.82826930505196	455.9685093578298	1.8712559162532169E-4	0.15275649306535094	2.171219100886951	0.676024406047698	0.15275649306535094	2.171219100886951	0.676024406047698	0.6448290588346599	70.16504379059153	-96.48130510073298	1.0	
36	-3540.6999584435985	-3436.4253895026577	-104.27456894094058	-3436.4253895026577	103.3421531344157	502.3652759597251	1.7540628416804987E-4	0.07850447782028606	2.2072997741325855	0.7141957480471285	0.07850447782028606	2.2072997741325855	0.7141957480471285	0.6448290588346599	70.47417157289455	-100.01932265891699	1.0	
37	-3532.535170285581	-3436.317534922493	-96.21763536308791	-3436.317534922493	71.57590289854859	342.0783398780592	2.488147043441241E-4	0.03400961513105369	2.2984463019997015	0.6675440828692454	0.03400961513105369	2.2984463019997015	0.6675440828692454	0.8480267032096531	33.54068151534144	-92.70487628741981	1.0	
38	-3531.526921514751	-3436.3173631237455	-95.2095583910054	-3436.3173631237455	61.13728245605068	311.4981313057014	2.8642459912501465E-4	0.30927726267880684	2.1299339177080823	0.5607888196131121	0.30927726267880684	2.1299339177080823	0.5607888196131121	0.6868813356206859	33.03106593509964	-91.71210988039773	1.0	
39	-3531.526921514751	-3436.3173631237455	-95.2095583910054	-3436.3173631237455	61.13728245605068	311.4981313057014	2.8642459912501465E-4	0.30927726267880684	2.1299339177080823	0.5607888196131121	0.30927726267880684	2.1299339177080823	0.5607888196131121	0.6868813356206859	33.03106593509964	-91.71210988039773	1.0	
40	-3531.6899766672755	-3436.060576645355	-95.62940002192066	-3436.060576645355	71.23619314469205	343.97738942382836	2.8217818369209984E-4	0.22447865258122762	2.3219791965146763	0.4535421509040969	0.22447865258122762	2.3219791965146763	0.4535421509040969	0.8480267032096531	50.468739316772925	-91.7080459007437	1.0	
41	-3536.302378876643	-3436.051857845086	-100.25052103155694	-3436.051857845086	81.22182076246334	402.85039603187204	2.271316044363429E-4	0.05983150583396974	2.2072997741325855	0.7328687200334448	0.05983150583396974	2.2072997741325855	0.7328687200334448	0.6448290588346599	40.13102706158282	-96.55837125424448	1.0	
42	-3536.302378876643	-3436.051857845086	-100.25052103155694	-3436.051857845086	81.22182076246334	402.85039603187204	2.271316044363429E-4	0.05983150583396974	2.2072997741325855	0.7328687200334448	0.05983150583396974	2.2072997741325855	0.7328687200334448	0.6448290588346599	40.13102706158282	-96.55837125424448	1.0	
43	-3555.1513060187426	-3435.9356904143533	-119.2156156043891	-3435.9356904143533	218.00960404954017	959.2019873560085	9.891871695393496E-5	0.03651525345711361	2.206302608231971	0.7571821383109154	0.03651525345711361	2.206302608231971	0.7571821383109154	0.6448290588346599	197.7736992142559	-113.92849216060222	1.0	
44	-3555.1513060187426	-3435.9356904143533	-119.2156156043891	-3435.9356904143533	218.00960404954017	959.2019873560085	9.891871695393496E-5	0.03651525345711361	2.206302608231971	0.7571821383109154	0.03651525345711361	2.206302608231971	0.7571821383109154	0.6448290588346599	197.7736992142559	-113.92849216060222	1.0	
45	-3534.7063876028374	-3435.8138012852633	-98.89258631757407	-3435.8138012852633	76.05935995705482	399.64170712590163	2.972207940459027E-4	0.0878165769231533	2.2869938190061667	0.6251896040706806	0.0878165769231533	2.2869938190061667	0.6251896040706806	0.6448290588346599	59.3621698772853	-94.80892916484657	1.0	
46	-3537.8221527058954	-3435.807363170298	-102.01478953559752	-3435.807363170298	112.06426310693459	481.21298810150563	2.271316044363429E-4	0.16192426940786206	2.188366544242396	0.6497091863497422	0.16192426940786206	2.188366544242396	0.6497091863497422	0.6448290588346599	73.87753161232293	-97.71238079159448	1.0	
47	-3533.1602856500285	-3435.7844635583106	-97.37582209171806	-3435.7844635583106	63.667241862318704	348.2078168883256	2.8613842195446336E-4	0.06388862799000743	2.3576309931351442	0.5784803788748493	0.06388862799000743	2.3576309931351442	0.5784803788748493	0.8480267032096531	52.42276166547998	-93.41648121177901	1.0	
