Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	gammaShape	TPM2uffreqParameter.1	TPM2uffreqParameter.2	TPM2uffreqParameter.3	TPM2uffreqParameter.4	RateAC-Standard_TPM2uf	RateAG-Standard_TPM2uf	RateAT-Standard_TPM2uf	RateCG-Standard_TPM2uf	RateCT-Standard_TPM2uf	RateGT-Standard_TPM2uf	proportionInvariant	clockRate	BayesianSkyline	bPopSizes.1	bPopSizes.2	bPopSizes.3	bPopSizes.4	bPopSizes.5	bGroupSizes.1	bGroupSizes.2	bGroupSizes.3	bGroupSizes.4	bGroupSizes.5	
20	-6450.375200298923	-6343.278921194412	-107.09627910451134	-6343.278921194412	72.92492596168485	258.39839285483265	0.2246513689437175	0.27921652234040595	0.20013291604298242	0.2839559877868588	0.23669457382975242	0.3130693458881696	2.5083355630837483	0.3130693458881696	0.17859509102808288	2.5083355630837483	0.17859509102808288	0.0	3.3925404918925574E-4	-70.52507783967475	4.95391644587618	6.277137096616523	7.614359167182601	22.953437460948624	37.70145323054211	1.0	6.0	1.0	1.0	10.0	
21	-6446.332775672653	-6343.108261090764	-103.22451458188898	-6343.108261090764	58.045197997828836	215.34125345113748	0.3786568929364857	0.2720842318357152	0.20341816860623582	0.2727424609387545	0.2517551386192942	0.3290728208186706	2.5163185328671065	0.3290728208186706	0.15460864631422333	2.5163185328671065	0.15460864631422333	0.0	4.934733226808481E-4	-68.02456484993381	3.924168841998034	7.527823709625535	22.508040627986844	26.006324720353305	9.358362174621936	4.0	4.0	5.0	3.0	3.0	
22	-6456.469285009743	-6343.074815822215	-113.39446918752802	-6343.074815822215	82.46093370783409	304.8400637149691	0.1798427289899131	0.2791743636079794	0.20806213716787633	0.2766560235388963	0.23610747568524754	0.38509728795750203	2.4235242278595903	0.38509728795750203	0.19137848418290812	2.4235242278595903	0.19137848418290812	0.0	3.3925404918925574E-4	-74.02210588329483	2.245242501865891	4.3551015899746295	22.592746135508907	52.23334795371533	30.413604335093193	1.0	5.0	1.0	10.0	2.0	
23	-6463.241884965086	-6342.975481337528	-120.26640362755732	-6342.975481337528	74.97339193837152	287.97401314826436	0.6050142157470932	0.259824397365983	0.1926970400283174	0.27553575383052137	0.2719428087751779	0.33014357027705343	2.5421703076823663	0.33014357027705343	0.12768612204058116	2.5421703076823663	0.12768612204058116	0.0	3.37474645522178E-4	-80.08455497389099	9.57447498907782	22.983841129958414	46.84813740413111	28.192344637177182	18.709241479594567	5.0	8.0	4.0	1.0	1.0	
24	-6465.530217749292	-6342.97148024897	-122.55873750032285	-6342.97148024897	75.52977587752456	289.3706024281952	0.17170740592837855	0.27017474873933156	0.20038063078821594	0.27108036595212825	0.25836425452032385	0.3341187891047107	2.5408095057230886	0.3341187891047107	0.12507170517220126	2.5408095057230886	0.12507170517220126	0.0	3.3906688540695295E-4	-81.80746780893449	22.603967206672298	15.665348331054512	20.123411817014553	33.856661196120356	81.13828080651861	2.0	3.0	2.0	5.0	7.0	
25	-6451.553305082049	-6342.946264902181	-108.60704017986748	-6342.946264902181	65.37545326063841	228.09934287737553	0.4015939767132709	0.2779233710264835	0.1812110421267571	0.2856297469612198	0.2552358398855392	0.30724077010967304	2.528829674564051	0.30724077010967304	0.16392955532627732	2.528829674564051	0.16392955532627732	0.0	4.201285202527934E-4	-71.63130679062493	7.345473993633965	5.970522754438131	17.210217955824124	19.532588905746476	41.88194838714035	1.0	3.0	2.0	2.0	11.0	
26	-6447.847565896258	-6342.587601570998	-105.25996432525999	-6342.587601570998	64.52223871748937	238.89532712300226	0.15140693049365755	0.27751037272348117	0.19489699876714595	0.2852180857668825	0.24237454274248996	0.34696866535502074	2.5145861199231483	0.34696866535502074	0.13844521472183205	2.5145861199231483	0.13844521472183205	0.0	4.201285202527934E-4	-68.67650879223028	3.4474752726118627	8.812066596691508	19.947774573876526	30.906663875879286	30.299091704498327	7.0	1.0	1.0	6.0	4.0	
27	-6456.686069112152	-6342.4396045741905	-114.24646453796151	-6342.4396045741905	71.33716238154727	255.04316522720256	0.46572166901379447	0.2501519740245761	0.19895205035139096	0.2918947038128016	0.25900127181123095	0.37744646396943654	2.468978554211902	0.37744646396943654	0.1535749818186613	2.468978554211902	0.1535749818186613	0.0	3.532633228431607E-4	-75.71565777050718	9.66319945326927	15.670346766311301	15.965051480018124	39.926311511468775	14.416662764774586	6.0	1.0	3.0	6.0	3.0	
28	-6457.6563271065925	-6342.307833229293	-115.34849387730036	-6342.307833229293	73.52276827724278	282.43152095178397	0.3106788360910545	0.265426393437346	0.19038290871045221	0.27553575383052137	0.2686549440216801	0.3832805492239923	2.4940283191897112	0.3832805492239923	0.1226911315862971	2.4940283191897112	0.1226911315862971	0.0	3.37474645522178E-4	-73.75684672577408	1.6231743587646417	10.035905374118691	37.27339762704895	36.78240584349167	31.830860826045626	3.0	3.0	6.0	2.0	5.0	
29	-6457.6563271065925	-6342.307833229293	-115.34849387730036	-6342.307833229293	73.52276827724278	282.43152095178397	0.3106788360910545	0.265426393437346	0.19038290871045221	0.27553575383052137	0.2686549440216801	0.3832805492239923	2.4940283191897112	0.3832805492239923	0.1226911315862971	2.4940283191897112	0.1226911315862971	0.0	3.37474645522178E-4	-73.75684672577408	1.6231743587646417	10.035905374118691	37.27339762704895	36.78240584349167	31.830860826045626	3.0	3.0	6.0	2.0	5.0	
