Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	RateAC-Standard_TPM3	RateAG-Standard_TPM3	RateAT-Standard_TPM3	RateCG-Standard_TPM3	RateCT-Standard_TPM3	RateGT-Standard_TPM3	proportionInvariant	fastUcldStdev	fastRatesStat.mean	fastRatesStat.variance	fastRatesStat.coefficientOfVariation	fastUcldMean	popSize	CoalescentConstant	
238	-3478.125472642487	-3435.2413107843404	-42.8841618581465	-3435.2413107843404	163.67700874037305	688.7653525844106	0.16702915532873128	2.3451195240621683	0.48785132060909986	0.16702915532873128	2.3451195240621683	0.48785132060909986	0.7165393235170792	0.06388285489586548	1.1471021992150893E-4	3.382451811396351E-11	0.05075198597314071	1.1476186972194092E-4	92.19286101830816	-103.17202192874758	
239	-3452.4832942796465	-3435.2376718675996	-17.245622412047137	-3435.2376718675996	147.8328472375739	738.8192333836588	0.27608900659392754	2.3172484179022805	0.4066625755037916	0.27608900659392754	2.3172484179022805	0.4066625755037916	0.7165393235170792	0.029377372713288167	1.1900438568553563E-4	5.846563827930195E-12	0.020206343697096008	1.1928228893122003E-4	139.15008148060917	-109.24913009364442	
240	-3440.441800604421	-3435.2052471080005	-5.236553496420427	-3435.2052471080005	75.48092424864903	396.21046783952886	0.1376662126184138	1.9662665738618406	0.8960672135197452	0.1376662126184138	1.9662665738618406	0.8960672135197452	0.7975532907512652	0.023301844640010557	2.432482733090452E-4	3.1860295115301826E-11	0.023199249190187603	2.4365895150158464E-4	78.65201315007641	-97.21899478629356	
241	-3440.441800604421	-3435.2052471080005	-5.236553496420427	-3435.2052471080005	75.48092424864903	396.21046783952886	0.1376662126184138	1.9662665738618406	0.8960672135197452	0.1376662126184138	1.9662665738618406	0.8960672135197452	0.7975532907512652	0.023301844640010557	2.432482733090452E-4	3.1860295115301826E-11	0.023199249190187603	2.4365895150158464E-4	78.65201315007641	-97.21899478629356	
242	-3440.441800604421	-3435.2052471080005	-5.236553496420427	-3435.2052471080005	75.48092424864903	396.21046783952886	0.1376662126184138	1.9662665738618406	0.8960672135197452	0.1376662126184138	1.9662665738618406	0.8960672135197452	0.7975532907512652	0.023301844640010557	2.432482733090452E-4	3.1860295115301826E-11	0.023199249190187603	2.4365895150158464E-4	78.65201315007641	-97.21899478629356	
243	-3528.985928977156	-3435.1577128553695	-93.82821612178648	-3435.1577128553695	74.84620690166763	374.0695384376794	0.057079944031857954	2.3697616046061802	0.5731584513619613	0.057079944031857954	2.3697616046061802	0.5731584513619613	0.6343775987370216	0.1904080159491673	2.538075048439227E-4	3.1118972052278984E-9	0.23069788814713707	2.373507593294421E-4	71.74640157481518	-94.34487849860963	
244	-3354.3385064141994	-3435.152486706985	80.81398029278603	-3435.152486706985	181.4955583111586	891.5098018940737	0.06243252564908378	2.189459934229788	0.7481075401211271	0.06243252564908378	2.189459934229788	0.7481075401211271	0.7402496100555245	0.0015458411194497305	1.0431400848296283E-4	2.5835415839288913E-14	0.0015408759244565284	1.0429296635586444E-4	243.91105169547126	-114.56174525998397	
245	-3457.8004535659843	-3435.1470368819605	-22.65341668402393	-3435.1470368819605	80.57873511357336	418.9406508227845	0.19415880346971334	2.4259297415455445	0.3799114549847419	0.19415880346971334	2.4259297415455445	0.3799114549847419	0.7165393235170792	0.03390310721819641	3.1587222831884297E-4	1.3726700286632838E-10	0.0367055689260043	3.1682946045241483E-4	57.84840445567085	-96.13797649292826	
246	-3497.655158995356	-3435.132672003151	-62.52248699220479	-3435.132672003151	131.59586482198387	658.1704435784851	0.08432016140673665	2.5017486532091238	0.41393118538413887	0.08432016140673665	2.5017486532091238	0.41393118538413887	0.7324695937213953	0.09419534943547318	1.5308485982204383E-4	1.8319450993255815E-10	0.08959332797212677	1.5293203704196465E-4	71.65691345688268	-102.94442048229283	
247	-3497.655158995356	-3435.132672003151	-62.52248699220479	-3435.132672003151	131.59586482198387	658.1704435784851	0.08432016140673665	2.5017486532091238	0.41393118538413887	0.08432016140673665	2.5017486532091238	0.41393118538413887	0.7324695937213953	0.09419534943547318	1.5308485982204383E-4	1.8319450993255815E-10	0.08959332797212677	1.5293203704196465E-4	71.65691345688268	-102.94442048229283	
