Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	RateAC-Standard_TPM3	RateAG-Standard_TPM3	RateAT-Standard_TPM3	RateCG-Standard_TPM3	RateCT-Standard_TPM3	RateGT-Standard_TPM3	fastUcldStdev	fastRatesStat.mean	fastRatesStat.variance	fastRatesStat.coefficientOfVariation	fastUcldMean	BayesianSkyline	bPopSizes.1	bPopSizes.2	bPopSizes.3	bPopSizes.4	bPopSizes.5	bGroupSizes.1	bGroupSizes.2	bGroupSizes.3	bGroupSizes.4	bGroupSizes.5	
40	-3520.9888655576824	-3428.8575409672635	-92.13132459041891	-3428.8575409672635	40.55386154967732	221.97667848317383	0.24566467613953089	2.149989464099192	0.6043458597612775	0.24566467613953089	2.149989464099192	0.6043458597612775	0.38213452362912914	3.845408529849059E-4	2.0834288433198804E-8	0.4021279680206936	3.501802408342902E-4	-64.06361770899599	4.726945302958746	11.630704132956179	32.51296233679059	43.30504488336125	1.4353413307612786	7.0	1.0	2.0	5.0	4.0	
41	-3520.9888655576824	-3428.8575409672635	-92.13132459041891	-3428.8575409672635	40.55386154967732	221.97667848317383	0.24566467613953089	2.149989464099192	0.6043458597612775	0.24566467613953089	2.149989464099192	0.6043458597612775	0.38213452362912914	3.845408529849059E-4	2.0834288433198804E-8	0.4021279680206936	3.501802408342902E-4	-64.06361770899599	4.726945302958746	11.630704132956179	32.51296233679059	43.30504488336125	1.4353413307612786	7.0	1.0	2.0	5.0	4.0	
42	-3195.6464191323817	-3428.8339422546355	233.18752312225396	-3428.8339422546355	61.12808436176961	281.52480956238946	0.27296490201186163	2.2542953359521105	0.4727397620360281	0.27296490201186163	2.2542953359521105	0.4727397620360281	5.1628644184779366E-5	4.0303109108151737E-4	3.291223398958615E-16	4.5013568719980897E-5	4.0302570973422766E-4	-78.44237980016597	10.357664173391829	21.414005801943098	69.26035474109017	73.48151520575959	38.10274779143862	5.0	3.0	4.0	3.0	4.0	
43	-3542.183764578103	-3428.7244106599987	-113.45935391810417	-3428.7244106599987	58.13943915393643	321.59839381001586	0.22394453462062877	2.168946129310854	0.6071093360685176	0.22394453462062877	2.168946129310854	0.6071093360685176	0.3539948499644146	3.395739433803021E-4	1.649783182413598E-8	0.39763102581783794	3.2270473248222374E-4	-78.29794666506876	4.65881117250643	11.7318785499197	32.55274929258884	90.63384575069777	54.71972269404092	4.0	4.0	1.0	6.0	4.0	
44	-3497.5720834754493	-3428.702616146848	-68.86946732860136	-3428.702616146848	87.64962163526337	432.41186289552377	0.3011858178336088	2.418932572296477	0.2798816098699137	0.3011858178336088	2.418932572296477	0.2798816098699137	0.07993017752704909	2.464728599074637E-4	5.298113495996122E-10	0.094015046350928	2.4061118068437727E-4	-84.67630790580877	8.35108179245089	12.18710832230131	58.10054034236643	122.79424491232956	79.54243842814785	5.0	3.0	7.0	1.0	3.0	
45	-3523.538505486655	-3428.678181144246	-94.86032434240917	-3428.678181144246	54.623382671550566	319.10537322729635	0.22394453462062877	2.168946129310854	0.6071093360685176	0.22394453462062877	2.168946129310854	0.6071093360685176	0.23447326141393857	2.869480344143932E-4	6.217413021836924E-9	0.2798157460089132	2.8144242453252553E-4	-75.6981877840947	4.1661113315531555	4.7124676984047245	18.862301903270804	43.613341187506684	2.7089406429828484	5.0	2.0	3.0	7.0	2.0	
46	-3468.9402107224464	-3428.673470857946	-40.26673986450043	-3428.673470857946	55.180645955763744	269.0804785570716	0.1704108398312251	2.1069613289047044	0.7226278312640706	0.1704108398312251	2.1069613289047044	0.7226278312640706	0.060756940799550754	3.900419353844254E-4	5.672538611061568E-10	0.06283904060329945	3.75039045111398E-4	-73.86212989134555	3.4219931622105326	8.937250637232289	42.63095061987113	66.24506459244321	47.274704078108286	6.0	2.0	1.0	6.0	4.0	
47	-3496.6355075924266	-3428.6714734682955	-67.96403412413095	-3428.6714734682955	50.577995300766275	247.49542155610487	0.10200806743855645	2.2711316158905452	0.6268603166708986	0.10200806743855645	2.2711316158905452	0.6268603166708986	0.1909318319126016	4.1850596532125154E-4	3.4529425572982107E-9	0.13862971723179257	4.4286059105488337E-4	-71.75761930336061	4.044158515617834	7.7858808678598574	23.258924102210454	76.68522115161511	32.0959434509716	5.0	2.0	1.0	7.0	4.0	
48	-3496.6355075924266	-3428.6714734682955	-67.96403412413095	-3428.6714734682955	50.577995300766275	247.49542155610487	0.10200806743855645	2.2711316158905452	0.6268603166708986	0.10200806743855645	2.2711316158905452	0.6268603166708986	0.1909318319126016	4.1850596532125154E-4	3.4529425572982107E-9	0.13862971723179257	4.4286059105488337E-4	-71.75761930336061	4.044158515617834	7.7858808678598574	23.258924102210454	76.68522115161511	32.0959434509716	5.0	2.0	1.0	7.0	4.0	
49	-3536.0643611364726	-3428.6393338301536	-107.42502730631914	-3428.6393338301536	43.71350702450391	258.16312289279887	0.2382760963562639	2.154614567575219	0.6071093360685176	0.2382760963562639	2.154614567575219	0.6071093360685176	0.3156698671230197	3.7503290951848605E-4	1.2899482100656164E-8	0.32489136830540083	3.4717032769997967E-4	-77.25615680602739	6.794720575480884	31.346700133663116	12.578293103486505	70.60470033885706	20.878459153168595	3.0	3.0	2.0	7.0	4.0	
