Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	clockRate	TPM2uffreqParameter.1	TPM2uffreqParameter.2	TPM2uffreqParameter.3	TPM2uffreqParameter.4	RateAC-Standard_TPM2uf	RateAG-Standard_TPM2uf	RateAT-Standard_TPM2uf	RateCG-Standard_TPM2uf	RateCT-Standard_TPM2uf	RateGT-Standard_TPM2uf	proportionInvariant	mutationRate	popSize	CoalescentConstant	gammaShape	
215	-6440.530649009367	-6328.605160133268	-111.92548887609856	-6328.605160133268	186.58585760548448	774.979701361224	1.4272317813251542E-4	0.2626420521237315	0.1955473653766931	0.2763135523309427	0.2654970301686329	0.3940179830100848	2.422122882374345	0.3940179830100848	0.18385913461556863	2.422122882374345	0.18385913461556863	0.0	0.8173412849605229	128.13989674785765	-106.49282483459646	0.5795414310675757	
216	-6443.079687304915	-6328.57402747195	-114.50565983296472	-6328.57402747195	235.83581354137894	935.4352045992237	1.4272317813251542E-4	0.2609316866732581	0.1993099178595601	0.2806215190833261	0.25913687638385585	0.40772702720048537	2.4084138381839444	0.40772702720048537	0.18385913461556863	2.4084138381839444	0.18385913461556863	0.0	0.8173412849605229	144.15575413947943	-109.26992498067087	0.2648405112851514	
217	-6437.715429633262	-6328.570702272489	-109.14472736077266	-6328.570702272489	227.88166792461146	809.2921021097325	1.2078435425043086E-4	0.2805629937981707	0.2032954782236775	0.2663740929586489	0.2497674350195032	0.377398507361086	2.497129654108022	0.377398507361086	0.12547183853089	2.497129654108022	0.12547183853089	0.0	1.096641205183331	94.79029142171773	-104.29382081000885	0.2992395579105311	
218	-6443.3328634288155	-6328.519300437827	-114.81356299098844	-6328.519300437827	213.0343030514979	882.5886231219947	1.4065055945023825E-4	0.2626373523868493	0.19918719616415498	0.27517222425044224	0.2630032271985536	0.43405258251855183	2.460142066925405	0.43405258251855183	0.10580535055604184	2.460142066925405	0.10580535055604184	0.0	0.8173412849605229	112.41899528727083	-109.47170663803328	0.6196234325562748	
219	-6434.683922473513	-6328.501956888332	-106.1819655851812	-6328.501956888332	199.7185071963371	708.6989696115605	1.2806040168292885E-4	0.25532794503593087	0.20768381673897546	0.27435303721228965	0.2626352010128043	0.33578613546550173	2.5677134651834024	0.33578613546550173	0.09650039935109438	2.5677134651834024	0.09650039935109438	0.0	1.096641205183331	54.005679068014466	-101.7756385088445	0.4172378673759987	
220	-6434.683922473513	-6328.501956888332	-106.1819655851812	-6328.501956888332	199.7185071963371	708.6989696115605	1.2806040168292885E-4	0.25532794503593087	0.20768381673897546	0.27435303721228965	0.2626352010128043	0.33578613546550173	2.5677134651834024	0.33578613546550173	0.09650039935109438	2.5677134651834024	0.09650039935109438	0.0	1.096641205183331	54.005679068014466	-101.7756385088445	0.4172378673759987	
221	-6434.683922473513	-6328.501956888332	-106.1819655851812	-6328.501956888332	199.7185071963371	708.6989696115605	1.2806040168292885E-4	0.25532794503593087	0.20768381673897546	0.27435303721228965	0.2626352010128043	0.33578613546550173	2.5677134651834024	0.33578613546550173	0.09650039935109438	2.5677134651834024	0.09650039935109438	0.0	1.096641205183331	54.005679068014466	-101.7756385088445	0.4172378673759987	
222	-6434.683922473513	-6328.501956888332	-106.1819655851812	-6328.501956888332	199.7185071963371	708.6989696115605	1.2806040168292885E-4	0.25532794503593087	0.20768381673897546	0.27435303721228965	0.2626352010128043	0.33578613546550173	2.5677134651834024	0.33578613546550173	0.09650039935109438	2.5677134651834024	0.09650039935109438	0.0	1.096641205183331	54.005679068014466	-101.7756385088445	0.4172378673759987	
223	-6434.683922473513	-6328.501956888332	-106.1819655851812	-6328.501956888332	199.7185071963371	708.6989696115605	1.2806040168292885E-4	0.25532794503593087	0.20768381673897546	0.27435303721228965	0.2626352010128043	0.33578613546550173	2.5677134651834024	0.33578613546550173	0.09650039935109438	2.5677134651834024	0.09650039935109438	0.0	1.096641205183331	54.005679068014466	-101.7756385088445	0.4172378673759987	
224	-6440.703123245801	-6328.494966794503	-112.20815645129841	-6328.494966794503	211.86620381729264	823.8699704301467	1.3634832656296678E-4	0.2703012767530717	0.20125721507449376	0.2853943415512539	0.24304716662118087	0.3569856592336148	2.5814935612822874	0.3569856592336148	0.061520779484096844	2.5814935612822874	0.061520779484096844	0.0	0.8173412849605229	145.74522803160121	-106.98638564508951	0.2399107222923187	
225	-6440.703123245801	-6328.494966794503	-112.20815645129841	-6328.494966794503	211.86620381729264	823.8699704301467	1.3634832656296678E-4	0.2703012767530717	0.20125721507449376	0.2853943415512539	0.24304716662118087	0.3569856592336148	2.5814935612822874	0.3569856592336148	0.061520779484096844	2.5814935612822874	0.061520779484096844	0.0	0.8173412849605229	145.74522803160121	-106.98638564508951	0.2399107222923187	
226	-6438.80414502458	-6328.489130510814	-110.31501451376595	-6328.489130510814	219.77498231806112	829.4994475157073	1.3101977149169284E-4	0.26633512315803387	0.18948301375306684	0.26485641648217084	0.27932544660672853	0.42567231612510464	2.4315388983938484	0.42567231612510464	0.14278878548104695	2.4315388983938484	0.14278878548104695	0.0	0.8173412849605229	87.52493954991853	-105.57972318287852	0.26336755470766593	
227	-6438.80414502458	-6328.489130510814	-110.31501451376595	-6328.489130510814	219.77498231806112	829.4994475157073	1.3101977149169284E-4	0.26633512315803387	0.18948301375306684	0.26485641648217084	0.27932544660672853	0.42567231612510464	2.4315388983938484	0.42567231612510464	0.14278878548104695	2.4315388983938484	0.14278878548104695	0.0	0.8173412849605229	87.52493954991853	-105.57972318287852	0.26336755470766593	
