Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	proportionInvariant	gammaShape	TPM2uffreqParameter.1	TPM2uffreqParameter.2	TPM2uffreqParameter.3	TPM2uffreqParameter.4	RateAC-Standard_TPM2uf	RateAG-Standard_TPM2uf	RateAT-Standard_TPM2uf	RateCG-Standard_TPM2uf	RateCT-Standard_TPM2uf	RateGT-Standard_TPM2uf	fastUcldStdev	fastRatesStat.mean	fastRatesStat.variance	fastRatesStat.coefficientOfVariation	fastUcldMean	BayesianSkyline	bPopSizes.1	bPopSizes.2	bPopSizes.3	bPopSizes.4	bPopSizes.5	bGroupSizes.1	bGroupSizes.2	bGroupSizes.3	bGroupSizes.4	bGroupSizes.5	
10	-6427.007586794201	-6335.5722382918	-91.43534850240125	-6335.5722382918	125.05227626533971	482.04672509000784	0.0	0.17648172185674416	0.2545466766195126	0.2153800426098807	0.27650825953368946	0.25356502123691754	0.35735424623334583	2.479770615307092	0.35735424623334583	0.16287513845956175	2.479770615307092	0.16287513845956175	0.16509064340688617	1.7736319377726934E-4	4.971858158071462E-10	0.12877465597223564	1.7038668805735403E-4	-93.4931197262559	13.570534205678303	19.63205986893181	42.73634002485074	48.86450483910763	187.48871002273802	1.0	5.0	3.0	3.0	7.0	
11	-6389.367528173364	-6335.495823865084	-53.87170430827961	-6335.495823865084	174.1633690435452	655.3417528280172	0.0	0.6630012947549199	0.2568009042051708	0.2141110423043683	0.28593326174046835	0.24315479174999272	0.5568100713547511	2.3021707544205086	0.5568100713547511	0.14101917422474017	2.3021707544205086	0.14101917422474017	0.0597449467942923	1.370289158883848E-4	6.82903636127347E-11	0.05907944141370836	1.4049864236599806E-4	-91.97090082697993	12.148263749475664	24.10971047938038	26.06448085035423	51.569551748214046	85.1289947194254	3.0	3.0	1.0	4.0	8.0	
12	-6448.159263375637	-6335.298355143972	-112.86090823166518	-6335.298355143972	285.7524766581084	1087.4172239725326	0.0	0.5276311457540007	0.2711011531108707	0.21084454558691273	0.2894240278417897	0.22863027346042705	0.5142294549283142	2.338264974671871	0.5142294549283142	0.14750557039981446	2.338264974671871	0.14750557039981446	0.18815188726429086	8.79692603627768E-5	3.69292328242699E-10	0.20690403285506942	8.92365111112607E-5	-98.98524124222934	7.416470555541167	12.304840212911243	36.33185096333682	137.94811358485936	201.82761067552389	5.0	2.0	1.0	6.0	5.0	
13	-6412.083851710573	-6335.115415177743	-76.96843653283072	-6335.115415177743	414.9127977285711	1747.7939867511197	0.0	0.2550585973974639	0.2609571866305912	0.21345455825015355	0.27892950983816006	0.24665874528109544	0.5436041259150604	2.3384400230371876	0.5436041259150604	0.11795585104775197	2.3384400230371876	0.11795585104775197	0.04337387522144601	5.7253103780887843E-5	7.43627762988734E-12	0.047694377401572716	5.734750202473832E-5	-113.45337718851063	48.91704632152472	197.468091153518	371.3426509042842	454.72569092358333	162.99809133598632	5.0	1.0	5.0	4.0	4.0	
14	-6414.588494537748	-6334.854504940993	-79.73398959675501	-6334.854504940993	283.46334186659556	1039.1740143291645	0.0	0.46799765635837703	0.25038075867702725	0.21520654790481747	0.29130057772884843	0.24311211568930705	0.30387312356302504	2.4877820375077473	0.30387312356302504	0.2083448389292277	2.4877820375077473	0.2083448389292277	0.08394053798906484	9.102784656885799E-5	3.986092981649289E-11	0.06661379691181413	9.63633323179816E-5	-102.23209971175588	9.090690489487876	54.468352220482444	119.39093354084774	46.07560920373604	255.95035069223493	1.0	7.0	2.0	2.0	7.0	
15	-6447.814754569874	-6334.1323464439865	-113.68240812588763	-6334.1323464439865	403.52396042658654	1464.3951241732007	0.0	0.5276311457540007	0.2711011531108707	0.21084454558691273	0.2894240278417897	0.22863027346042705	0.5142294549283142	2.3833962259539256	0.5142294549283142	0.10237431911775956	2.3833962259539256	0.10237431911775956	0.13157825422727637	6.681859379085642E-5	1.0665523445217378E-10	0.15171547105690772	6.791168483194271E-5	-108.3287326644892	38.120652505717445	25.566307058440493	96.72151160141084	269.5385398651722	230.13224032821367	1.0	3.0	3.0	5.0	7.0	
16	-6321.980528037311	-6333.6881455511775	11.707617513865976	-6333.6881455511775	177.68585445885367	725.6522156424344	0.0	0.31500850964822613	0.27138096050913335	0.20853768488267432	0.2670852642089885	0.25299609039920407	0.3864157769743262	2.3946677011817648	0.3864157769743262	0.21891652184390875	2.3946677011817648	0.21891652184390875	0.010989566639360421	1.2298311807964837E-4	1.1093735946325704E-12	0.008545079410845757	1.2324931038358553E-4	-93.77116910931053	15.525158729704522	38.67492748905028	102.09998263807822	242.07574414074045	50.43784054762038	5.0	1.0	4.0	5.0	4.0	
17	-6471.332405642888	-6333.49650191485	-137.83590372803826	-6333.49650191485	682.9834456632772	2462.964543350915	0.0	0.5276311457540007	0.25499024530326997	0.19772398578087916	0.30909430996393517	0.23819145895191587	0.5142294549283142	2.338264974671871	0.5142294549283142	0.14750557039981446	2.338264974671871	0.14750557039981446	0.2392962412884847	4.1862343342730935E-5	9.287288375776323E-11	0.23513382765159804	4.1456245445866245E-5	-112.82318953345863	157.02287411011025	9.960893088267945	25.629160123466143	187.49823018433955	316.48305249690816	1.0	4.0	1.0	4.0	9.0	
18	-6365.9019290028855	-6333.3482387452905	-32.553690257594766	-6333.3482387452905	340.4070317317278	1275.6460441567194	0.0	0.6852329408851227	0.2568009042051708	0.201264097767424	0.2851146896599124	0.2568203083674931	0.4575303691907822	2.4014504565844774	0.4575303691907822	0.14101917422474017	2.4014504565844774	0.14101917422474017	0.019357209810703196	8.49736221136748E-5	2.7758884105508786E-12	0.019754082985492968	8.449933302292498E-5	-107.12706419970968	24.41487813519438	41.87468816200895	97.02898752475328	149.99063969437296	376.6661394470657	4.0	3.0	2.0	1.0	9.0	
19	-6367.501671039592	-6333.273344705145	-34.22832633444718	-6333.273344705145	340.01363834328356	1288.7893475397893	0.0	0.16358013216490735	0.2619803378735254	0.21233866358247594	0.2881427187785855	0.23753827976541345	0.30212803537204985	2.5351980024216343	0.30212803537204985	0.1626739622063153	2.5351980024216343	0.1626739622063153	0.02436698479237617	8.855572330038966E-5	2.9370555130207048E-12	0.01937918055965901	8.879389410661454E-5	-106.40685264907896	37.23645772379057	32.22473570918583	119.02899259298016	225.1909174543486	428.55869961732395	5.0	1.0	3.0	9.0	1.0	
