Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	TIM3uffreqParameter.1	TIM3uffreqParameter.2	TIM3uffreqParameter.3	TIM3uffreqParameter.4	RateAC-Standard_TIM3uf	RateAG-Standard_TIM3uf	RateAT-Standard_TIM3uf	RateCG-Standard_TIM3uf	RateCT-Standard_TIM3uf	RateGT-Standard_TIM3uf	fastUcldStdev	fastRatesStat.mean	fastRatesStat.variance	fastRatesStat.coefficientOfVariation	fastUcldMean	popSize	CoalescentConstant	proportionInvariant	
807	-11356.420440361517	-11469.400935042077	112.98049468056017	-11469.400935042077	0.22757671304152757	1.5465775614304729	0.30737921231531035	0.20578690680684805	0.25263948689204835	0.23419439398579345	0.09816438628578077	2.060234235652417	0.3250340716027464	0.09816438628578077	3.0933688485705297	0.3250340716027464	0.01610615309510009	0.04086894958499012	3.767644939102286E-7	0.015058636410583323	0.040889712742712615	0.28972592780580037	4.535853081595089	0.775746132501352	
808	-11423.437895773055	-11469.3944326192	45.956536846144346	-11469.3944326192	0.1542712000762648	1.0217484204929816	0.307599386274829	0.2103579120916304	0.24340544257492924	0.23863725905861152	0.07944413399815663	1.9511505891930954	0.3080745143874101	0.07944413399815663	3.273812114035772	0.3080745143874101	0.10017609790378242	0.06646266104222734	4.913329991020636E-5	0.10664780131260487	0.0663155609502138	0.12039751576171355	11.268853953523132	0.775746132501352	
809	-11344.375345964598	-11469.392071341257	125.01672537665941	-11469.392071341257	0.1671115661997341	1.133236443739856	0.31593044492542816	0.20224139579090764	0.23936246539314016	0.24246569389052425	0.09789587930521722	2.066869727549057	0.33438192812171497	0.09789587930521722	3.0685746575970794	0.33438192812171497	0.014106244057426446	0.0561959251299051	5.060974083597146E-7	0.012674509686657103	0.056167615783303766	0.1571320080750989	9.3034118059146	0.775746132501352	
810	-11344.375345964598	-11469.392071341257	125.01672537665941	-11469.392071341257	0.1671115661997341	1.133236443739856	0.31593044492542816	0.20224139579090764	0.23936246539314016	0.24246569389052425	0.09789587930521722	2.066869727549057	0.33438192812171497	0.09789587930521722	3.0685746575970794	0.33438192812171497	0.014106244057426446	0.0561959251299051	5.060974083597146E-7	0.012674509686657103	0.056167615783303766	0.1571320080750989	9.3034118059146	0.775746132501352	
811	-11114.694357889352	-11469.37852643495	354.68416854559905	-11469.37852643495	0.2134610303998608	1.4700935486196705	0.29962989040964944	0.20352841538452082	0.24438502514697524	0.2524566690588546	0.10957386137429435	2.0864276654098677	0.2847529525135243	0.10957386137429435	3.124918706814496	0.2847529525135243	2.4617580382573884E-5	0.04956698204592413	2.014395423848505E-12	2.8633962991646957E-5	0.04956668704970142	0.29404412769792937	5.423619132132819	0.8542419459436689	
812	-11467.57512490905	-11469.376559209231	1.8014343001818547	-11469.376559209231	0.14192051866274072	1.0225029450823762	0.30408453779836325	0.2005177113282015	0.24951674504464882	0.24588100582878653	0.06285023347155609	2.1792224157496247	0.2795850479808421	0.06285023347155609	3.1359070213455795	0.2795850479808421	0.3563837429975039	0.06796817049432202	4.923670086591248E-4	0.3390127699447652	0.06597168675094268	0.18247805813342327	10.27524807490821	0.8542419459436689	
813	-11467.57512490905	-11469.376559209231	1.8014343001818547	-11469.376559209231	0.14192051866274072	1.0225029450823762	0.30408453779836325	0.2005177113282015	0.24951674504464882	0.24588100582878653	0.06285023347155609	2.1792224157496247	0.2795850479808421	0.06285023347155609	3.1359070213455795	0.2795850479808421	0.3563837429975039	0.06796817049432202	4.923670086591248E-4	0.3390127699447652	0.06597168675094268	0.18247805813342327	10.27524807490821	0.8542419459436689	
814	-11467.57512490905	-11469.376559209231	1.8014343001818547	-11469.376559209231	0.14192051866274072	1.0225029450823762	0.30408453779836325	0.2005177113282015	0.24951674504464882	0.24588100582878653	0.06285023347155609	2.1792224157496247	0.2795850479808421	0.06285023347155609	3.1359070213455795	0.2795850479808421	0.3563837429975039	0.06796817049432202	4.923670086591248E-4	0.3390127699447652	0.06597168675094268	0.18247805813342327	10.27524807490821	0.8542419459436689	
815	-11458.0999513713	-11469.357686439345	11.257735068044898	-11469.357686439345	0.3295250095660543	2.177852650086357	0.3053149601295334	0.2087330601976602	0.24370433396245794	0.24224764571034862	0.10606308818740051	2.229159630063258	0.27216982902166725	0.10606308818740051	3.0143745355186073	0.27216982902166725	0.1719859860944998	0.03197196862663203	3.046426827688878E-5	0.18500029851464947	0.02984452588918448	0.38633733089477584	-2.0229298463606704	0.8542419459436689	
816	-11458.0999513713	-11469.357686439345	11.257735068044898	-11469.357686439345	0.3295250095660543	2.177852650086357	0.3053149601295334	0.2087330601976602	0.24370433396245794	0.24224764571034862	0.10606308818740051	2.229159630063258	0.27216982902166725	0.10606308818740051	3.0143745355186073	0.27216982902166725	0.1719859860944998	0.03197196862663203	3.046426827688878E-5	0.18500029851464947	0.02984452588918448	0.38633733089477584	-2.0229298463606704	0.8542419459436689	
817	-11470.437498272622	-11469.355633029401	-1.0818652432212343	-11469.355633029401	0.40957435957542754	2.645982687104582	0.31677095376189107	0.20214295852092326	0.2383203697264916	0.2427657179906942	0.1188502660017147	2.2238250969373947	0.2880913502021394	0.1188502660017147	2.9622916706548983	0.2880913502021394	0.23014273134293398	0.0269879770518144	4.1157383957580444E-5	0.22540632424736473	0.030372266312752413	0.41014103043186423	-4.998889859438666	0.8542419459436689	
818	-11412.521379088288	-11469.354529232449	56.833150144161486	-11469.354529232449	0.20937870311539722	1.3956610838029018	0.31593044492542816	0.20224139579090764	0.23936246539314016	0.24246569389052425	0.052487800276522986	2.1576858856064454	0.33438192812171497	0.052487800276522986	3.0685746575970794	0.33438192812171497	0.07763560413820392	0.047646175913922076	1.1086840875726178E-5	0.06935881085648626	0.048572186675737636	0.239273099989311	6.67611351482255	0.775746132501352	
