Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	RateAC-Standard_TPM3	RateAG-Standard_TPM3	RateAT-Standard_TPM3	RateCG-Standard_TPM3	RateCT-Standard_TPM3	RateGT-Standard_TPM3	proportionInvariant	fastUcldStdev	fastRatesStat.mean	fastRatesStat.variance	fastRatesStat.coefficientOfVariation	fastUcldMean	popSize	CoalescentConstant	
280	-3440.1826137492426	-3443.473700507906	3.291086758663483	-3443.473700507906	5.514664266684271	28.080886791935022	0.11539350943270468	2.1952004681577026	0.689406022409592	0.11539350943270468	2.1952004681577026	0.689406022409592	0.7587841355278641	0.06521811095421114	0.003983607060348339	4.8648149827507783E-8	0.05520539523678735	0.003991788634557132	9.25201809768534	-53.565958400086714	
281	-3398.779437628898	-3443.468094954502	44.688657325603984	-3443.468094954502	0.5481438422408956	2.4006450273072226	0.13732843533215275	2.0703418545599446	0.792329710107902	0.13732843533215275	2.0703418545599446	0.792329710107902	0.7587841355278641	0.08858080948600355	0.04152191830078597	7.670822331102927E-6	0.06876687792718672	0.03991763405663838	0.391408669405758	-2.9934498698121033	
282	-3163.1021557915014	-3443.456970092345	280.3548143008435	-3443.456970092345	9.111812440307936	39.487475694440306	0.07960454907446948	2.2649132459000416	0.655482205025488	0.07960454907446948	2.2649132459000416	0.655482205025488	0.7587841355278641	4.8686239783547796E-5	0.0025284209109647953	1.0888002791352967E-14	4.126879040087685E-5	0.002528439744481252	6.399252262690399	-54.18087585103669	
283	-3163.1021557915014	-3443.456970092345	280.3548143008435	-3443.456970092345	9.111812440307936	39.487475694440306	0.07960454907446948	2.2649132459000416	0.655482205025488	0.07960454907446948	2.2649132459000416	0.655482205025488	0.7587841355278641	4.8686239783547796E-5	0.0025284209109647953	1.0888002791352967E-14	4.126879040087685E-5	0.002528439744481252	6.399252262690399	-54.18087585103669	
284	-3163.1021557915014	-3443.456970092345	280.3548143008435	-3443.456970092345	9.111812440307936	39.487475694440306	0.07960454907446948	2.2649132459000416	0.655482205025488	0.07960454907446948	2.2649132459000416	0.655482205025488	0.7587841355278641	4.8686239783547796E-5	0.0025284209109647953	1.0888002791352967E-14	4.126879040087685E-5	0.002528439744481252	6.399252262690399	-54.18087585103669	
285	-3454.482739588029	-3443.4549092652674	-11.027830322761329	-3443.4549092652674	2.668895942122815	11.944723671211573	0.2506163221493386	2.2812421284598168	0.46814154939084396	0.2506163221493386	2.2812421284598168	0.46814154939084396	0.7587841355278641	0.14080091582477486	0.006135134269081602	6.590493642151684E-7	0.13505826915362343	0.005932979597281589	1.319209025310375	-34.958360747656776	
286	-3454.482739588029	-3443.4549092652674	-11.027830322761329	-3443.4549092652674	2.668895942122815	11.944723671211573	0.2506163221493386	2.2812421284598168	0.46814154939084396	0.2506163221493386	2.2812421284598168	0.46814154939084396	0.7587841355278641	0.14080091582477486	0.006135134269081602	6.590493642151684E-7	0.13505826915362343	0.005932979597281589	1.319209025310375	-34.958360747656776	
287	-3454.482739588029	-3443.4549092652674	-11.027830322761329	-3443.4549092652674	2.668895942122815	11.944723671211573	0.2506163221493386	2.2812421284598168	0.46814154939084396	0.2506163221493386	2.2812421284598168	0.46814154939084396	0.7587841355278641	0.14080091582477486	0.006135134269081602	6.590493642151684E-7	0.13505826915362343	0.005932979597281589	1.319209025310375	-34.958360747656776	
288	-3454.482739588029	-3443.4549092652674	-11.027830322761329	-3443.4549092652674	2.668895942122815	11.944723671211573	0.2506163221493386	2.2812421284598168	0.46814154939084396	0.2506163221493386	2.2812421284598168	0.46814154939084396	0.7587841355278641	0.14080091582477486	0.006135134269081602	6.590493642151684E-7	0.13505826915362343	0.005932979597281589	1.319209025310375	-34.958360747656776	
289	-3294.8960637010864	-3443.440200433895	148.5441367328086	-3443.440200433895	3.530930232156465	16.96337922100323	0.20893485162817	2.1394545953721424	0.651610552999687	0.20893485162817	2.1394545953721424	0.651610552999687	0.7587841355278641	0.0021615089262557044	0.004532020738560607	7.302688575794045E-11	0.0018849457996363158	0.00453427108503978	3.1413678274762833	-39.42201181518255	
