Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	clockRate	RateAC-Standard_TPM3	RateAG-Standard_TPM3	RateAT-Standard_TPM3	RateCG-Standard_TPM3	RateCT-Standard_TPM3	RateGT-Standard_TPM3	proportionInvariant	mutationRate	BayesianSkyline	bPopSizes.1	bPopSizes.2	bPopSizes.3	bPopSizes.4	bPopSizes.5	bGroupSizes.1	bGroupSizes.2	bGroupSizes.3	bGroupSizes.4	bGroupSizes.5	
314	-3526.1627315700607	-3427.4151525593184	-98.74757901074253	-3427.4151525593184	61.27486451453909	295.1565207091579	2.58545660688165E-4	0.12315712174118554	2.4916694187587938	0.3851734595000207	0.12315712174118554	2.4916694187587938	0.3851734595000207	0.7080927004716042	1.3195728300654277	-79.334825941412	3.478953454996177	7.082985710311004	21.779722125744318	51.94715478706637	8.159668719331824	1.0	5.0	2.0	9.0	2.0	
315	-3528.2294916448386	-3427.3974580928643	-100.83203355197418	-3427.3974580928643	81.99740064961124	358.90189081903014	2.5853737516668806E-4	0.04505021864501196	2.315895722930335	0.639054058424653	0.04505021864501196	2.315895722930335	0.639054058424653	0.7080927004716042	0.9723712225855506	-79.02296732305776	4.803575428152884	16.143638851457553	26.76226463200312	65.68999328424513	63.83806882362029	8.0	1.0	1.0	7.0	2.0	
316	-3528.1975903639986	-3427.3953427610336	-100.80224760296514	-3427.3953427610336	64.6298179558942	301.120642525025	6.125677734905479E-4	0.15604726934737878	2.339390451519766	0.5045622791328555	0.15604726934737878	2.339390451519766	0.5045622791328555	0.7080927004716042	0.5758376861013201	-81.78171688967464	19.116743449301833	3.909916877788484	11.247948128819916	17.591316127164614	41.77873168540256	3.0	2.0	3.0	3.0	8.0	
317	-3528.1975903639986	-3427.3953427610336	-100.80224760296514	-3427.3953427610336	64.6298179558942	301.120642525025	6.125677734905479E-4	0.15604726934737878	2.339390451519766	0.5045622791328555	0.15604726934737878	2.339390451519766	0.5045622791328555	0.7080927004716042	0.5758376861013201	-81.78171688967464	19.116743449301833	3.909916877788484	11.247948128819916	17.591316127164614	41.77873168540256	3.0	2.0	3.0	3.0	8.0	
318	-3535.9988216981874	-3427.3840767832853	-108.61474491490212	-3427.3840767832853	69.30885041726103	328.7583583588023	2.58545660688165E-4	0.15769808709757302	2.4916694187587938	0.35063249414363323	0.15769808709757302	2.4916694187587938	0.35063249414363323	0.7080927004716042	1.3195728300654277	-87.47122597933331	29.692319749075928	23.954197260442793	37.57116024929447	31.43458621801318	19.560844734672536	3.0	5.0	9.0	1.0	1.0	
319	-3535.9988216981874	-3427.3840767832853	-108.61474491490212	-3427.3840767832853	69.30885041726103	328.7583583588023	2.58545660688165E-4	0.15769808709757302	2.4916694187587938	0.35063249414363323	0.15769808709757302	2.4916694187587938	0.35063249414363323	0.7080927004716042	1.3195728300654277	-87.47122597933331	29.692319749075928	23.954197260442793	37.57116024929447	31.43458621801318	19.560844734672536	3.0	5.0	9.0	1.0	1.0	
320	-3536.122314633068	-3427.370130607905	-108.75218402516285	-3427.370130607905	90.59427787839195	426.1585236510975	2.1992194412094013E-4	0.24831493287200085	2.2515021729506337	0.5001828941773651	0.24831493287200085	2.2515021729506337	0.5001828941773651	0.7080927004716042	0.871348376852034	-84.61048530344392	14.405355003462194	22.398354296827925	85.69209245646232	92.51134216189982	36.715005735877526	8.0	4.0	1.0	2.0	4.0	
321	-3536.122314633068	-3427.370130607905	-108.75218402516285	-3427.370130607905	90.59427787839195	426.1585236510975	2.1992194412094013E-4	0.24831493287200085	2.2515021729506337	0.5001828941773651	0.24831493287200085	2.2515021729506337	0.5001828941773651	0.7080927004716042	0.871348376852034	-84.61048530344392	14.405355003462194	22.398354296827925	85.69209245646232	92.51134216189982	36.715005735877526	8.0	4.0	1.0	2.0	4.0	
322	-3536.122314633068	-3427.370130607905	-108.75218402516285	-3427.370130607905	90.59427787839195	426.1585236510975	2.1992194412094013E-4	0.24831493287200085	2.2515021729506337	0.5001828941773651	0.24831493287200085	2.2515021729506337	0.5001828941773651	0.7080927004716042	0.871348376852034	-84.61048530344392	14.405355003462194	22.398354296827925	85.69209245646232	92.51134216189982	36.715005735877526	8.0	4.0	1.0	2.0	4.0	
323	-3529.4680828394517	-3427.3673571930417	-102.10072564640978	-3427.3673571930417	71.56638845083721	352.9761048068163	2.58545660688165E-4	0.1634059567035203	2.2094634753725977	0.6271305679238823	0.1634059567035203	2.2094634753725977	0.6271305679238823	0.7080927004716042	0.9608664085348095	-80.6611241154637	2.446423464644102	2.6744616789884943	17.174094081117552	51.381711530981086	72.82290945192955	4.0	3.0	1.0	8.0	3.0	
324	-3543.0975295640164	-3427.3603953028705	-115.73713426114575	-3427.3603953028705	89.06311413336216	394.1762107682654	2.931879790823256E-4	0.04505021864501196	2.360763235205694	0.5941865461492941	0.04505021864501196	2.360763235205694	0.5941865461492941	0.7080927004716042	0.9723712225855506	-91.05197324256318	74.45254870491213	40.65637373388533	81.57254260142102	60.02827091388449	36.199540592377915	2.0	6.0	4.0	5.0	2.0	
325	-3543.0975295640164	-3427.3603953028705	-115.73713426114575	-3427.3603953028705	89.06311413336216	394.1762107682654	2.931879790823256E-4	0.04505021864501196	2.360763235205694	0.5941865461492941	0.04505021864501196	2.360763235205694	0.5941865461492941	0.7080927004716042	0.9723712225855506	-91.05197324256318	74.45254870491213	40.65637373388533	81.57254260142102	60.02827091388449	36.199540592377915	2.0	6.0	4.0	5.0	2.0	
326	-3543.0975295640164	-3427.3603953028705	-115.73713426114575	-3427.3603953028705	89.06311413336216	394.1762107682654	2.931879790823256E-4	0.04505021864501196	2.360763235205694	0.5941865461492941	0.04505021864501196	2.360763235205694	0.5941865461492941	0.7080927004716042	0.9723712225855506	-91.05197324256318	74.45254870491213	40.65637373388533	81.57254260142102	60.02827091388449	36.199540592377915	2.0	6.0	4.0	5.0	2.0	
327	-3529.8352346641877	-3427.35170205883	-102.48353260535752	-3427.35170205883	85.17892325439306	362.44132438702553	2.5853737516668806E-4	0.04505021864501196	2.315895722930335	0.639054058424653	0.04505021864501196	2.315895722930335	0.639054058424653	0.7080927004716042	0.9723712225855506	-77.72572559224538	8.416046070036193	24.70206433799163	81.2898991954357	122.81738128763931	45.82948909230942	8.0	1.0	1.0	6.0	3.0	
328	-3529.8352346641877	-3427.35170205883	-102.48353260535752	-3427.35170205883	85.17892325439306	362.44132438702553	2.5853737516668806E-4	0.04505021864501196	2.315895722930335	0.639054058424653	0.04505021864501196	2.315895722930335	0.639054058424653	0.7080927004716042	0.9723712225855506	-77.72572559224538	8.416046070036193	24.70206433799163	81.2898991954357	122.81738128763931	45.82948909230942	8.0	1.0	1.0	6.0	3.0	
