#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="demographic.alltrees" spec="beast.base.evolution.tree.coalescent.CompoundPopulationFunction">
#    <parameter id="popSizes.alltrees" lower="0.0" name="populationSizes" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#    <populationIndicators id="indicators.alltrees" spec="beast.base.inference.parameter.BooleanParameter">false</populationIndicators>
#    <itree id="treeIntervals.t:HRTV_S_BEAST" spec="beast.base.evolution.tree.TreeIntervals">
#        <tree id="Tree.t:HRTV_S_BEAST" spec="beast.base.evolution.tree.Tree">
#            <trait id="dateTrait.t:HRTV_S_BEAST" spec="beast.base.evolution.tree.TraitSet" traitname="date" value="HRTV-23_T_S_2019=2019,HRTV-26_T_S_2019=2019,HRTV-404_T_S_2021=2021,HRTV-100_T_S_2022=2022,HRTV-187_T_S_2022=2022,HRTV-056F_T_S_2023=2023,HRTV-504_T_S_2019=2019,HRTV-432R_T_S_2023=2023,HRTV-642T_T_S_2023=2023,JX005843_H_S_MO_2009=2009,OQ688983.1_T_S_MO_2012=2012,OQ688989.1_T_S_MO_2012=2012,OQ688986.1_T_S_KS_2015=2015,OQ688993.1_H_S_OK_2017=2017,MZ440341_T_S_NY_2018=2018,MZ440344_T_S_NY_2018=2018,NC_024496_H_S_MO_2009=2009,KJ740146_H_S_TN_2013=2013,OQ688998.1_H_S_KY_2017=2017,OQ689001.1_H_S_MO_2017=2017">
#                <taxa id="TaxonSet.HRTV_S_BEAST" spec="beast.base.evolution.alignment.TaxonSet">
#                </taxa>
#            </trait>
#            <taxonset idref="TaxonSet.HRTV_S_BEAST"/>
#        </tree>
#    </itree>
#</input>
#
Sample	NSlikelihood	popsSize0	demographic.alltrees.times.0	demographic.alltrees.times.1	demographic.alltrees.times.2	demographic.alltrees.times.3	demographic.alltrees.times.4	demographic.alltrees.times.5	demographic.alltrees.times.6	demographic.alltrees.times.7	demographic.alltrees.times.8	demographic.alltrees.times.9	demographic.alltrees.times.10	demographic.alltrees.times.11	demographic.alltrees.times.12	demographic.alltrees.times.13	demographic.alltrees.times.14	demographic.alltrees.times.15	demographic.alltrees.times.16	demographic.alltrees.times.17	demographic.alltrees.times.18
20	-5766.288992906285	0:0.40440171090130267	0.07501334181714725	0.46691593353403604	1.2076344295210522	1.8359382487102387	2.2336329076023063	4.271868283700837	4.278630949354223	4.446871222137265	5.006417889296436	5.656614359778137	6.0551358165162235	6.3371648714716535	6.727108884177447	8.858318210558163	10.346472715676597	11.147460315191191	11.206808602758423	14.08964310893341	14.212789814452627
21	-5743.367059999062	0:1.0629130861680496	0.6373286828520683	1.0291315635034728	1.2518825663699467	2.254625066387721	4.115239842994786	4.116420017875178	4.177528599364983	4.4472358902896225	5.1688613969314545	6.156615612106677	6.182849283807332	6.576759312968274	7.290801457557922	10.295413421719008	10.986146862695222	11.13682112648279	11.979349076507201	14.31780851534366	18.23132818530263
22	-5738.245823653461	0:0.8951075616356147	0.2107429424026428	0.3137684209205709	1.300156411625938	3.2706881630113944	4.4012096070342785	4.626870990600356	4.685147064431817	4.913399605129259	5.29552420397237	6.079806502528207	6.264587090577681	6.703496223724272	7.060721328829803	8.39117902700107	11.039751040841171	11.299820642934918	11.676680514360708	14.009860089815922	16.47169921068235
23	-5732.282130216215	0:17.276469452375288	1.480191555549748:2.732979957155749	2.068128141316171	2.360302720040435	2.9708653333426636	4.006083013808608	4.268593291279252	4.313105475551909	4.528553361944267	5.0084063663030385	6.054375279698474	6.164323429377781	6.7920545929453695	8.258855858611835	8.289955687286326	10.325802464646259	12.199162771967758	12.200732647557727	14.062407843301251	15.363483091527096
24	-5719.129499660296	0:1.6039608847759628	0.24295465100306401	1.0048947992772241	1.2862531159946222	2.3156205141704014	4.386575889443513	4.468066285262243	4.658313352444882	5.462666785578726	6.031025028072602	6.149722341781137	6.19812526235769	7.578396157479828	8.564911557358418	8.66715406772288	10.104787805529764	11.482638829657748	13.245754054324903	14.131936198720307	18.228867282337838:2.4023572530443227
25	-5694.745431518236	0:1.0816869111674476	0.028336038635314864	1.1301251715459983	1.5066503346338163	2.1307091029179936	2.703032137899166	4.090112758198286	5.275436285503284	5.3265107743511155	5.350362514079583	5.654122983805442	6.2121570206057175	6.395065471076064	8.012881008117988	8.640590152113813	11.131148719367477	11.282779077490524	12.482405171354133	14.145611468607434	14.69111319942054
26	-5650.112506955742	0:1.0104113825655836	0.1640471089587976	0.9209147989455904	2.0522533619730066	2.136571091366207	2.3821293365348435	4.653859714514951	4.730938005469019	5.291163027718737	5.422441920309915	6.008389972979391	6.185402327888848	6.461761985763971	6.472589565007183	9.460621641530459	10.680618015642471	11.257384321901718	11.79747633544406	14.507717526921173	14.671397554604308
27	-5626.2768051215735	0:1.6897396719973223	0.8805620217061065	1.0003117532389982	2.1430647876406415	2.9639746679689214	3.285555794245882	4.150662542206414	5.4476051503451135	5.5547656616675365	5.7909907016614515	6.13694686426507	6.326134973952321	6.469784257768055	7.767909315167934	9.229557792121811	11.184018208687998	11.619268244004065:0.6201878848466935	12.213088756467785	14.08944844109009	14.455425282385816
28	-5555.545287076713	0:1.8677099380059852	1.0965719505412554	1.1583255286367695	1.504793637072103	2.3271064192007547	4.330284298374725	4.626993309751311	4.667893890477233	5.077788891646245	5.320876682199515	6.03598380308507	6.115007128772028	6.168181929073048	8.10375389378168	8.250488844353145	11.027059758247722	11.483446607933782	12.195790199224549	14.031252531410852	15.736861192728366
29	-5529.59973378962	0:1.2559889800903148	0.8667707662216646	1.11123070280685	1.8851547078001172	2.2232049249719044	4.050593949316056	4.1133115844072705	4.564446949453204	4.777569557374502	5.478576193441549	6.040440942255664	6.153108636077877	6.316205475635906	8.010456073246209	8.780580688835347	11.174798048204496	11.31079579274707	11.61542415535101	14.032243621073397	14.079955568651055
